"",,,CENTRAL,,,,EASTERN,,,,,NORTHERN,,WESTERN,,,,Organic
CommodityName,Unit Pricetype,,KAL KIB,MSK,NAK,OWI,BUS IGA,JJA,KAP,MBA,SOR,ARU GUL,LRA,FTP KLE,KSR,MBR,,prices
Animal Products,,,,,,,,,,,,,,,,,,
Beef,Kg Retail,,5000 5000,5000,5000,5000,4500,6000,5000,4400,4000,5000 5000,5000,4750 4000,4000,4000,4744.1,
"",Wholesale,,4500 4500,4500,3800,4500,5000 4000,5000,4500,4200,3600,5000 4500,4500,4500 3500,3600,3800,4305.6,
Goat Meat,Kg Retail,,6000 6000,5500,6000,6000,5000,6000,5000,4800,5000,5500 7200,5000,5500 10000,6000,6000,5911.8,
"",Wholesale,,5000 5000,4500,4800,4500,5000 4500,5000,4500,4500,4700,5500 5700,4500,6000 8500,4000,5500,5094.4,
"Honey, Processed",Kg Retail,,7000,4500,8000,,8800,6000,,,7000,4500,,13000 10000,10000,5500,7663.6,
"",,,,,,,,,,,,,,,,,,4000
"",Wholesale,,6000,3500,7000,,10000 7200,5000,,,6500,3400,,12000 8500,8000,5000,6841.7,
"Honey, Unprocessed",Kg Retail,,3500,,6500,,5400,4000,,,5000,2300,,9000,8000,4200,5322.2,
"",Wholesale,,3100,,6000,,4600,3000,,,4500,,,8000,7000,4000,5025,
Milk,Ltrs Retail,,1000 1100,1100,1000,1200,1000,800,550,800,800,1000 1200,1000,1100 500,1000,600,926,
"",Wholesale,,700 1000,650,900,1000,800 900,700,400,700,700,1000,800,500 450,600,500,724,
Pork,Kg Retail,,5000 6500,4500,5000,5000,,5000,4000,4400,4000,5000 5000,5000,4500 5000,3800,6500,4887.5,
"",Wholesale,,4500 6000,3500,3500,4000,3800,4000,3600,3700,3800,5000 4500,3500,4000 4800,3300,6000,4205.9,
Cereals,,,,,,,,,,,,,,,,,,
Maize Flour,Kg Retail,,1200 900,850,1200,800,700,500,1200,600,1000,1200 1200,1000,1100 1000,1200,1100,985,
"",Wholesale,,1000 800,750,800,600,600 600,450,1000,450,800,1000 1000,800,1200 900,1050,1000,822,
Maize Grain,Kg Retail,,1000 350,350,600,300,230,270,600,330,400,800 1300,300,525 320,240,900,519,
"",Wholesale,,800 300,250,400,250,285 190,250,550,320,350,600 125,200,500 280,210,800,370,
Millet Flour,Kg Retail,,2000 1200,1600,2000,1800,1400,1500,1800,1800,1600,1800 1100,2000,2500 1500,1700,2000,1723.5,
"",Wholesale,,1800 1100,1200,1600,1800,1200,1400,1700,1600,1400,1500 900,1500,1700 1300,1500,1800,1470.6,
Millet Grain,Kg Retail,,2000 1000,1500,1200,950,1100,1200,1200,1000,1000,1000 1000,1000,1200 1200,1300,1000,1167.6,
"",Wholesale,,1700 900,1300,1000,900,800 1000,1150,1100,800,900,900 900,900,1100 1000,1200,700,1013.9,
Rice (Kayiso),Kg Retail,,2000 2800,2100,1600,1600,1200,1200,2200,1300,1800,2200 1600,1700,1900,2500,2500,1887.5,
"",Wholesale,,1800 2500,1700,1300,1300,1300 1000,1000,2100,1200,1500,1900 1500,1500,2000,2300,2300,1658.8,
