Rice (Super),Kg Retail,,2200 2300,2100,1800,2000,2000,1500,2300,1600,2000,2500 2400,2000,2150 2200,2600,2400,2120.6,
"",Wholesale,,2000 2200,1700,1600,1550,1650 1900,1300,2200,1400,1700,2000 2200,1800,2100 2000,2300,2100,1872.2,
Rice (Upland),Kg Retail,,1800 2200,2500,1600,1800,1400 1800,1200,2000,,,2000 1400,1700,2000,2200,2800,1893.3,
"",Wholesale,,1600 2000,1800,1300,1600,1156 1630,1000,1800,,,1800 1200,1500,1600,1900,2500,1625.7,
Simsim,Kg Retail,,4000,3200,3000,3000,2700,2500,2500,2800,2400,2500 2800,2300,4000,,4000,2978.6,
"",Wholesale,,3500,2800,2600,2300,2450,2300,2400,2600,2000,1800 2600,2000,3000,,3800,2582.1,
Sorghum Flour,Kg Retail,,2200 800,,1000,600,800,700,1000,370,900,800 1500,1200,700,,800,955,
"",Wholesale,,2000 700,,700,550,500,600,900,300,600,700 1300,1000,600,,750,800,
Sorghum Grain,Kg Retail,,2000 700,,800,350,550,500,,250,2300,700 250,300,650,800,850,786,
"",Wholesale,,1800 600,,500,280,223 350,400,,200,210,500 200,200,700,700,750,508,
Fish,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg Retail,,6000,6500,7500,7000,5000,7000,,,5000,5000 4000,4500,7000 9000,5500,7500,6178.6,
"",Wholesale,,5000,5000,6500,6000,4000,6000,,,4500,3500,4000,6500 8000,4500,6800,5407.7,
"Fish, Tilapia",whole Retail,,4000 6000,3500,4500,6000,6000,8500,1200,6000,6500,4500,6000,4500 10000,4500,7000,5543.8,
"",Wholesale,,3000 5000,2500,4000,5000,3700 4800,8000,1100,5000,4500,4000,5000,4000 8500,3500,6500,4594.1,
Fruits,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg Retail,,1000 550,850,1200,1100,1200,220,600,1000,650,600 1200,,1000 600,500,900,823,
"",,,,,,,,,,,,,,,,,,1500
"",Wholesale,,700 500,700,900,1000,1000 700,180,500,800,600,500 1000,,600 500,350,750,664,
Cavendish (Bogoya),Kg Retail,,1200 750,920,1200,1500,2700,650,1000,1500,800,600 1700,2000,1800 2000,650,2000,1351.2,
"",Wholesale,,1000 650,600,1000,1400,1200 2000,600,800,1000,700,500 1400,1800,1500 1500,400,1500,1086.1,
Matooke,Kg Retail,,190 150,375,320,270,300,120,500,1000,800,350 1200,1000,1100,400,700,548,
"",Wholesale,,135 100,150,230,220,600 250,100,400,800,700,300 1000,800,750,320,600,439,
Matooke (Bunch),Bunch Retail,,4000 6000,5500,7000,7500,11500,6000,10000,9000,20000,8500 18000,8000,9000 5000,8500,2800,8605.9,
"",Wholesale,,3000 4000,4500,5000,5500,13500 9700,5000,8000,7500,18000,8300 16500,4000,3000 3500,7300,2700,7166.7,
Pineapple,whole Retail,,1000 1000,1000,800,1000,1800,1700,,1500,2900,2000,3000,1075 500,1800,800,1458.3,
"",,,,,,,,,,,,,,,,,,2500
"",Wholesale,,600 800,500,500,700,500 1200,1400,,1000,2450,1500,500,1000 400,1000,600,916,
"",,,CENTRAL,,,,EASTERN,,,,,NORTHERN,,WESTERN,,,,Organic
CommodityName,Unit,Pricetype,KAL KIB,MSK,NAK,OWI,BUS IGA,JJA,KAP,MBA,SOR,ARU GUL,LRA,FTP KLE,KSR,MBR,,prices
Oil Seeds,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3400 2800,2300,2800,2400,2500,1800,3200,,2800,2700 3000,3500,2500 3000,3100,2500,2768.8,
"",,Wholesale,3100 2600,2100,2300,2150,1800 2400,1700,3000,,2600,2400 2700,3000,2800 2800,2800,2300,2502.9,
Soya Beans,Kg,Retail,2000 1300,1900,1500,1200,1450,1200,1800,1000,1400,1500,700,1350 2500,1600,2300,1543.8,
"",,Wholesale,1800 1100,1800,1200,900,988 1200,1000,1700,800,1000,,600,1000 2300,1300,2000,1293,
Sunflower,Kg,Retail,,,,400,,,,,600,,,,,3200,1400,
"",,Wholesale,,,,370,,,,,450,,,,,3000,1273.3,
Poultry Products,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7500,13500,6000,7000,5600,7000,,7000,8000,12000,5000,9000 8000,9000,14000,8471.4,
"",,Wholesale,6500,12000,5000,5000,6500 4600,6000,,6000,6000,10000,4000,9000 6000,7000,12500,7073.3,
"",,,,,,,,,,,,,,,,,,15000
"Chicken, Local",bird,Retail,8000 14000,16500,,15000,11500,14000,10000,,11000,12000 13500,7000,12000 10000,11000,12500,11867,
"",,Wholesale,7000 12000,15000,11500,13000,8000 8500,13000,8000,,8500,10000 11000,5000,13000 9000,9000,12000,10206,
"Eggs, Exotic",tray,Retail,5000 6000,4700,6000,5000,5300,5500,6000,5500,5800,7500 7200,6000,7250 5500,6500,7300,6002.9,
"",,Wholesale,4500 5500,3600,5000,4500,5400 4900,5200,5500,5300,5600,5700 5700,5500,5000 5000,5500,6700,5227.8,
"Eggs, Local",tray,Retail,9000,9000,12000,13000,8000,12000,7000,9000,9000,7500,6500,9000 9000,12000,7500,9300,
"",,Wholesale,7500,7500,10000,10000,7500 6000,9000,6500,7500,8500,,6000,7500 8500,9000,6800,7853.3,
Turkey,bird,Retail,,,42000,33000,8000 33000,43000,,,26000,,,,30000,,30714,
"",,Wholesale,,,35000,25000,8000 30000,40000,,,24000,,,,26000,,26857,
Pulses,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3200 1500,2600,2000,3200,1700,2400,1800,1000,1350,2500,2000,2000,2200,1000,2030,
"",,Wholesale,2800 1400,2200,1800,3000,1600 1600,2200,1700,900,1200,1600,1700,1800,2000,900,1775,
"Dried Beans, Agwede",Kg,Retail,,1400,1200,1100,1150,1200,,,,,1800,,,,1308.3,
"",,Wholesale,,1200,1000,1000,970,1100,,,,,1500,,,,1128.3,
"Dried Beans, Nambale",Kg,Retail,1500,1200,1800,1100,1200,1300,1200,1100,1500,1500 1700,1400,1400 1100,1250,1700,1371.9,
"",,Wholesale,1300,1100,1400,1050,947 1100,1200,1000,900,1300,1300 1500,1300,1400 950,980,1500,1189.8,
"Dried Beans, Yellow",Kg,Retail,1500 700,1000,1800,1600,1350,1500,,1400,1550,1600 1700,1500,1800 1000,1250,1450,1418.8,
"",,Wholesale,1300 600,800,1600,1450,1239 1200,1300,,1200,1350,1400 1500,1400,1800 900,1100,1350,1264.1,
Root Crops,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,280,380,,,,350,350 1500,700,,,1000,651,
"",,Wholesale,,,,250,290,,,,230,300 1200,500,,,800,510,
"Cassava, Flour",Kg,Retail,600 1200,1100,700,600,650,800,1000,500,800,550 1700,400,750 1000,1000,800,832,
"",,Wholesale,500 1000,600,400,450,500 520,700,900,400,700,400 1400,300,800 800,700,750,657,
"Cassava, Fresh",Kg,Retail,550,1000,350,350,700,170,500,110,250,300 600,1000,1050 1000,400,1000,583,
"",,Wholesale,450,600,250,300,500 500,150,400,100,200,250 400,800,1000 900,300,800,465,
"Cassava, Sun dried",Kg,Retail,,,700,300,380,200,,300,360,500 1400,300,350,500,1000,524,
"",,Wholesale,,,400,250,300 290,180,,250,,400 1200,200,240,400,800,409,
"",,,,,,,,,,,,,,,,,,1500
Irish Potatoes,Kg,Retail,580 458,1500,640,,800,600,400,500,600,1000 1500,1200,1175 500,800,1800,878,
"",,Wholesale,500 416,1000,560,,285 680,500,300,450,550,1300,1000,1500 450,600,1500,724,
"",,,,,,,,,,,,,,,,,,1200
Sweet Potatoes,Kg,Retail,200 160,1000,400,300,900,150,400,120,300,550 600,1000,800 1000,500,1000,552,
"",,Wholesale,150 140,600,300,220,500 700,130,300,100,250,500 400,800,500 900,400,850,430,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,2500,1000,,,,1000,,4000,,,,,1150,,1930,
"",,Wholesale,1900,800,,,,900,,3800,,,,,1000,,1680,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,,5000,
"",,Wholesale,4500,,,,,,,,,,,,,,4500,
Vanilla (Unprocessed),Kg,Retail,,,,3000,,,,,,,,,4000,3000,3333.3,
"",,Wholesale,,,,2700,,,,,,,,,3300,2800,2933.3,
