"",CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,,,
CommodityUnit,Kalerwe,Masaka,Kiboga,Nakawa,Owino,Iganga,Jinja,Mbale,Soroti,Arua,Lira,Hoima,Kasese,Kisoro,Mbarara,Avg,
Apple Bananas,Kg,Retail,"1,000",650,400,"1,200",550,650,190,350,350,,,,700,400,600
"",,Wholesale,800,500,300,700,500,450,170,300,300,700,,500,650,300,500
"Cassava, Dry Fermented",Kg,Retail,,,,,370,450,350,,300,600,300,,,,
"",,Wholesale,,,,,350,350,330,,270,550,300,,,,
"Cassava, Flour",Kg,Retail,800,650,800,800,600,700,800,900,600,700,700,550,600,"1,000",
"",,Wholesale,700,400,600,650,500,500,700,700,500,650,700,500,580,800,
"Cassava, Fresh",Kg,Retail,500,700,500,,600,450,160,700,250,650,500,,310,400,
"",,Wholesale,400,450,350,,550,400,140,600,200,600,400,,280,300,
"Cassava, Sun dried",Kg,Retail,,,400,800,370,400,580,700,300,600,400,400,,,
"",,Wholesale,,,300,650,350,300,480,600,270,530,450,350,,,
Cattle Steak,Kg,Retail,"5,000","6,500","4,500","5,000","5,000","5,000","5,000","4,500","4,000","5,500","5,500","4,000","4,000","5,000","5,000"
"",,Wholesale,"4,500",,"3,600","4,000","4,000","4,500","4,500","4,500","3,800","5,500","5,000",,"4,000","4,500","4,500"
Cavendish (Bogoya),Kg,Retail,900,"1,200",450,"1,000",800,700,490,600,450,900,,"1,000",700,400,"1,000"
"",,Wholesale,780,800,350,800,700,500,470,500,400,700,,500,700,300,800
Chicken (Exotic),bird,Retail,"7,500","8,000","8,000","6,000","8,000","8,000","10,000","6,000","8,500",,"9,000","8,000","7,000",,
"",,Wholesale,"6,500","7,000","6,500","5,000","6,000","6,000","8,500","6,000","8,000",,"8,500","6,000","6,500",,
Chicken (Local),bird,Retail,"15,000","15,000","18,000",,"16,000","13,000","16,000","15,000","9,500","15,000","16,000","18,000","11,500","18,000","15,000"
"",,Wholesale,"13,000","12,000","14,000","13,000","13,000","10,000","15,000","12,000","9,000","13,000","14,000","12,000","11,000","13,000","13,000"
Coffee (Unprocessed),Kg,Retail,,,"1,300",,,"1,600",,,,,,,,"1,600",
"",,Wholesale,,,"1,100",,,"1,350",,,,,,,,"1,400",
Cotton (Unprocessed),Kg,Retail,,,,,"1,200",,,,,,450,,,,
"",,Wholesale,,,,,"1,100",,,800,,,400,,,,
Cow Peas,Kg,Retail,"1,800","1,800","2,200","1,200","2,500","1,600","2,200","1,600","1,000","1,600","2,000","3,000","2,200","1,100","2,000"
