"",CentralEasternNorthernWestern,,,,,,,,,,,,,,,,,,,,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara
Apple Bananas,Kg,Retail,1000,400,700,800,500,800,1000,1500,180,500,700,600,700,800,,700,550,650,100
"",,Wholesale,850,300,500,500,450,500,900,1000,160,400,500,500,650,700,,600,500,400,80
Beef,Kg,Retail,4500,5000,4500,5000,5000,5000,5000,4500,6000,5000,4400,6000,5000,5000,5000,4000,4200,4000,380
"",,Wholesale,4000,4500,4500,4500,4500,3800,4500,4000,5000,4500,4200,5800,5000,4500,5000,3500,4000,3500,350
"Cassava, Dry Fermented",Kg,Retail,,,,,,,650,520,300,,,650,850,900,1000,,700,,
"",,Wholesale,,,,,,,600,430,280,,,600,800,700,800,,650,,
"Cassava, Flour",Kg,Retail,900,1200,1300,1000,900,1100,1000,520,1200,900,900,650,900,1250,600,1000,700,1200,
"",,Wholesale,700,1000,1200,850,700,900,850,430,1000,700,800,600,830,1150,400,900,650,800,
"Cassava, Fresh",Kg,Retail,400,400,1000,1100,550,400,620,850,270,400,200,500,630,1000,500,1000,1200,700,100
"",,Wholesale,320,300,1000,800,500,340,570,650,260,300,190,450,600,700,300,800,1000,500,70
"Cassava, Sun dried",Kg,Retail,,,650,,,1100,650,520,500,,800,700,850,1000,700,,750,500,100
"",,Wholesale,,,450,,,900,600,420,470,,750,600,800,800,500,,700,400,70
Cavendish (Bogoya),Kg,Retail,1300,500,1000,1100,750,1000,1600,2500,600,600,2000,550,800,,1400,,800,550,
"",,Wholesale,1200,400,800,800,700,800,1500,1600,570,500,1500,500,700,,1200,,750,350,
"Chicken, Exotic",bird,Retail,6500,,8000,7500,9000,6000,8000,6200,8000,,7000,8500,,9000,6000,12000,7800,8000,900
"",,Wholesale,6000,,7500,6000,8500,5000,6000,4800,7000,,6000,8000,,7000,5000,9000,7000,6000,700
"Chicken, Local",bird,Retail,12000,15000,15000,14000,12000,,18000,12000,16000,10000,8500,9000,10000,13500,9000,15000,14000,10000,1500
"",,Wholesale,10000,13000,13000,12000,10000,12000,15000,9000,15000,8000,7000,8500,9500,12500,7000,12000,13500,9000,900
Coffee (Unprocessed),Kg,Retail,,2000,1400,1000,,,,1750,1200,,2450,,,,,2800,900,,
"",,Wholesale,,1600,1200,800,,,,1600,1100,,2400,,,,,,2600,800,
Cotton (Unprocessed),Kg,Retail,,,,,,,,,800,,,,,,,,,,
"",,Wholesale,,,,,,,,,700,,,,,,,,,,
Cow Peas,Kg,Retail,2000,1600,2000,2500,2500,1900,2700,1700,2000,1800,2000,1550,2500,1500,1000,,2200,2100,140
"",,Wholesale,1800,1500,1800,2300,2000,1500,2400,1550,1900,1700,1800,1450,,1300,800,,2100,2000,120
"Dried Beans, Agwede",Kg,Retail,,,1700,1400,,1400,1300,1450,1400,,,1300,,,1400,,,,
"",,Wholesale,,,1600,1200,,1200,1200,1250,1300,,,1250,,,1300,,,,
"Dried Beans, Nambale",Kg,Retail,1600,,2000,1300,2000,2000,1700,1450,1500,1200,1700,1300,,1900,1400,1500,1600,1400,120
"",,Wholesale,1400,,1800,1100,1800,1800,1600,1250,1400,1000,1500,1250,,1700,1300,1300,1500,1300,110
"Dried Beans, Others",Kg,Retail,,,1400,,,,,,,,,,,,,,,,110
"",,Wholesale,,,1300,,,,,,,,,,,,,,,,90
"Dried Beans, Yellow",Kg,Retail,1800,1000,2000,1200,2200,2300,2000,1600,1500,,,1500,1700,1700,1600,1300,1800,1600,100
"",,Wholesale,1600,900,1800,1000,2000,2000,1800,1400,1400,,,1400,1500,1500,1400,1000,1600,1400,80
"Eggs, Exotic",tray,Retail,5000,6500,5500,6500,9000,6000,5000,6600,5500,6000,6000,5800,7500,6000,6000,10000,6000,6000,650
"",,Wholesale,4500,6000,5000,4700,8000,5000,4500,5200,5000,5500,5500,5700,6000,5700,5500,8000,5800,5500,600
"Eggs, Local",tray,Retail,10000,9000,6000,9000,15000,7500,11000,8800,7000,,9000,7100,,,6500,9500,9000,8500,800
"",,Wholesale,9000,7500,5500,7500,14500,5500,9000,6800,6000,,7500,7000,,,6000,8000,8500,7000,700
"Fish, Nile Perch",Kg,Retail,6000,,6000,6000,,7000,7000,5000,6000,,5200,,,4300,6500,,,5500,600
"",,Wholesale,5500,,6000,5000,,6000,6000,4000,5000,,5000,,,3600,5000,,,4500,550
"Fish, Tilapia",whole,Retail,3500,5500,3300,5500,4500,4500,6000,6500,8000,,4000,5000,6500,4500,6500,8500,3500,4500,550
"",,Wholesale,3000,4500,3000,4000,4000,4000,5000,4800,7000,,3500,4800,,3800,5000,7000,3200,4000,500
