"",,,,,CENTRAL,,,,,EASTERN,,,,NORTHERN,,,WESTERN,,,,Organic
CommodityName,Unit Pricetype,,KAL,KIB,LUW MSK,NAK,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,HOI,KAS KLE,KSR,MBR,Avg,prices
Animal Products,,,,,,,,,,,,,,,,,,,,,
Beef,Kg Retail,,5000,5000,5200 5500,5000,5500,5200,4500,7000 4800,5000,4500,5500,6000 5000,4500,5000,4400 5000,4500,4500,5076.2,
"",Wholesale,,,4500,4700 4500,3800,5000,5100,4000,6000 4500,4500,4200,5500,5500 4500,4500,3500,4300 4800,3700,4000,4555,
Goat Meat,Kg Retail,,7000,6000,6000 6500,6000,7000,5000,5000,7000 6000,6000,5000,6000,6500 6000,6000,6000,6000 6000,6000,6000,6047.6,
"",Wholesale,,6000,5000,5500 5000,4800,5000,4800,4500,6000 5500,5500,4800,6000,6000 5000,6000,4500,5800 5800,4000,5500,5285.7,
"Honey, Processed",Kg Retail,,,7000,7500,8000,,,8800,6000,,7000,6000,,12000,,5000,10000,5000,7481.8,
"",Wholesale,,,6000,5500,7000,,,7200,5000,,6800,4300,,10000,,4800,8000,4500,6281.8,4000
"Honey, Unprocessed",Kg Retail,,,3500,,6500,,,5400,4000,,5500,,,,,4500,8000,6000,5425,
"",Wholesale,,,3100,,6000,,,4600,3000,,4900,,,,,4000,7000,5500,4762.5,
Milk,Ltrs Retail,,1000,800,1200 1000,1000,,1200,1000,800 550,1000,800,1000,1000 1000,900,1000,1000 500,800,800,918,
"",Wholesale,,800,700,1000 500,900,,800,900,700 400,900,700,1000,800 800,500,800,950 400,600,600,738,
Pork,Kg Retail,,5000,5000,4000 5500,5000,,4000,,5000 4500,4200,4000,6000,6000,4000,5000,4800,4400,6000,4847.1,
"",Wholesale,,4800,4500,4500,3500,,3800,,4000 4000,3700,3700,6000,5000,3500,4000,4500,3500,5500,4281.3,
Cereals,,,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg Retail,,700,900,1800 850,1200,900,900,800,700 800,600,1000,1000,900 800,1200,1200,1000 1000,1200,1600,1002.4,
"",Wholesale,,400,800,1500 750,900,670,800,570,600 600,550,600,900,700 550,1000,900,900 800,1000,1400,804,
Maize Grain,Kg Retail,,500,400,1100 460,700,550,420,410,360 300,370,370,400,300 400,500,330,400 600,240,900,477,
"",Wholesale,,300,350,800 420,600,450,390,380,350 250,360,320,300,250 300,300,300,380 500,200,800,395,
Millet Flour,Kg Retail,,2000,1300,2000 1400,2000,1800,,1400,1500 1600,1800,1500,2000,1700,2000,1400,1600 1500,1700,1800,1684.2,
"",Wholesale,,1800,1200,1500 1200,1000,1500,,1100,1400 1400,1600,1350,1500,1400,1800,1000,1500 1400,1500,1500,1402.6,
Millet Grain,Kg Retail,,1600,1100,1200 1500,1200,850,1000,1100,1150 1000,1000,800,1000,1000 1000,1500,600,1300 1000,1300,1500,1128.6,
"",Wholesale,,1400,1000,1000 1400,1000,800,900,900,1050 900,900,780,650,750 700,1200,500,1200 900,1200,1300,973,
Rice (Kayiso),Kg Retail,,1600,2200,1400 2200,1800,1500,1400,1300,1700 1600,1500,1400,1600,1600 1500,2300,,1500,2400,2700,1747.4,
"",Wholesale,,1200,2000,1250 1800,1500,1250,1200,1150,1600 1400,1370,1300,1400,1300,2000,,1400,2300,2500,1551.1,
Rice (Super),Kg Retail,,2000,2000,2000 2100,2000,1800,1650,1800,2000 2000,1800,1600,2000,2500 1500,2500,2000,2000,2400,2500,2007.5,
"",Wholesale,,1600,1800,1700 1700,1700,1550,1400,1590,1800 1800,1700,1500,1500,2200 1300,2200,1500,1800,2300,2000,1732,
Rice (Upland),Kg Retail,,2000,1600,2000 2600,1800,1600,1500,1750,1600 1300,,,1800,1700 1500,1800,1500,,2100,2800,1820.6,
"",Wholesale,,1600,1500,1800 1950,1500,1450,1300,1620,1500 1100,,,1400,1300,1600,1400,,1800,2500,1582.5,
Simsim,Kg Retail,,3500,,3200 3200,3000,4000,,2800,2500 2500,2800,3000,2400,2800 3200,4000,,,2700,3500,3068.8,
"",Wholesale,,3000,,2800 2900,2500,3300,,2620,2300 2400,2500,2700,2000,2400 2800,3000,,,2300,3200,2670,
Sorghum Flour,Kg Retail,,1800,800,,1000,600,,850,700 1000,500,600,1000,1600,1500,,1400 1500,,1000,1056.7,
"",Wholesale,,1400,700,,700,500,,550,600 900,400,400,800,1300,1000,,1300 1400,,850,853,
Sorghum Grain,Kg Retail,,1600,750,,800,350,480,600,600,350,360,600,300 300,,,1100 1000,800,,666,
