"CentralEasternNorthernWesternCommodityKibogaLuwero MasakaNakaseroNakawa OwinoIgangaJinjaKapch MbaleSorotiAruaLiraKabaleKaseseKisoro MbraMinMaxAvg",Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,500,650,500,550,800,650,800,260,500,500,350,800,1000,900,500,400,1000,260,1000,627
"",,Wholesale,350,500,300,500,700,600,600,240,400,400,300,600,800,550,400,300,800,240,800,491
Beef,Kg,Retail,4000,,5000,5000,5000,5000,5000,7000,,4500,5000,5000,,4000,4100,5000,4000,4000,7000,4829
"",,Wholesale,3400,,4500,4500,3800,4500,4500,6500,,4300,4800,5000,,3200,4000,4500,3500,3200,6500,4357
"Cassava, Dry Fermented",Kg,Retail,,,,,,520,600,340,,,400,700,500,400,480,,,340,700,493
"",,Wholesale,,,,,,500,500,320,,,350,650,400,320,470,,,320,650,439
"Cassava, Flour",Kg,Retail,800,800,650,1500,800,700,850,800,,1000,650,750,1000,900,700,,900,650,1500,853
"",,Wholesale,600,750,400,1200,600,350,650,700,,800,550,700,1000,700,680,,850,350,1200,702
"Cassava, Fresh",Kg,Retail,500,1100,700,350,400,500,750,240,,600,250,550,600,700,,1000,1000,240,1100,616
"",,Wholesale,350,700,500,300,320,450,500,230,,400,200,500,500,500,,800,800,200,800,470
"Cassava, Sun dried",Kg,Retail,400,,,,800,520,500,320,,,400,700,500,,460,,900,320,900,550
"",,Wholesale,300,,,,600,500,400,300,,,350,650,400,,450,,700,300,700,465
Cavendish (Bogoya),Kg,Retail,500,1100,1000,650,1000,900,1000,530,600,700,500,800,1200,800,800,400,,400,1200,780
"",,Wholesale,300,1000,700,600,800,800,800,500,500,500,400,600,1000,600,700,300,,300,1000,631
"Chicken, Exotic",bird,Retail,7500,8000,8500,7500,6000,8000,8000,7500,,6000,8500,,7000,9000,5800,,7000,5800,9000,7450
"",,Wholesale,5000,6800,7000,6500,5000,6000,6500,6500,,6000,8000,,5000,,5500,,6000,5000,8000,6138
"Chicken, Local",bird,Retail,16000,13000,15000,10000,,16000,12000,8500,9000,12000,9500,13000,8000,9000,14000,15000,10000,8000,16000,11875
"",,Wholesale,13500,12000,12000,9000,8500,13000,9000,8000,7000,10000,9000,11000,7000,,13000,13000,8000,7000,13500,10188
Coffee (Unprocessed),Kg,Retail,1300,1350,1000,,,1200,,1200,,3500,,,,,,1600,,1000,3500,1593
"",,Wholesale,1200,1200,800,,,1100,,1100,,2500,,,,,,1400,,800,2500,1329
Cotton (Unprocessed),Kg,Retail,,,,,,1200,,800,,800,,,,,650,,,650,1200,863
"",,Wholesale,,,,,,1100,,700,,600,,,,,600,,,600,1100,750
Cow Peas,Kg,Retail,2200,1350,,3000,1400,2500,1900,2000,,1800,1100,1600,1500,1800,2100,1400,2200,1100,3000,1857
"",,Wholesale,2000,1300,,2500,1200,2000,1700,1800,,1500,900,1400,1400,1700,2000,1300,2000,900,2500,1647
"Dried Beans, Agwede",Kg,Retail,,1300,,,1200,800,1400,1100,,,1200,,700,,,,,700,1400,1100
"",,Wholesale,,1200,,,1000,700,1200,1000,,,1100,,500,,,,,500,1200,957
"Dried Beans, Nambale",Kg,Retail,1200,1500,1100,2000,1500,1150,1300,1500,1200,1300,1400,1400,1000,1100,1100,,900,900,2000,1291
"",,Wholesale,1100,1300,900,1500,1100,1050,1200,1300,1000,1000,1300,1300,800,800,1000,,700,700,1500,1084
"Dried Beans, Others",Kg,Retail,1400,1550,1100,2000,1500,1200,1300,1500,1200,1200,1100,1300,1000,1000,1250,1100,1000,1000,2000,1276
"",,Wholesale,1200,1250,900,1500,1250,1100,1200,1300,1000,1000,1000,1200,800,700,1200,1000,800,700,1500,1082
"Dried Beans, Yellow",Kg,Retail,1300,1500,1000,2000,1600,1300,1400,1500,,1500,1600,1400,1400,,1000,800,1100,800,2000,1360
"",,Wholesale,1100,1200,900,1500,1300,1200,1200,1400,,1200,1500,1300,1200,,900,700,1000,700,1500,1173
"Eggs, Exotic",tray,Retail,6000,500,6000,6000,6000,4700,6200,5200,7000,7500,5600,7500,6500,6500,5500,6000,6000,500,7500,5806
"",,Wholesale,5500,4800,4500,5500,5000,4400,5200,5000,6000,5500,5400,6000,6000,5000,5000,5500,5000,4400,6000,5253
"Eggs, Local",tray,Retail,8000,6000,7500,9000,9000,11000,7500,7000,,10500,7000,9000,6500,9000,4800,7500,9500,4800,11000,8050
"",,Wholesale,6500,5600,6000,8500,7000,9000,6000,6500,,9000,6500,7500,6000,7500,4600,6600,9000,4600,9000,6988
"Fish, Nile Perch",Kg,Retail,5000,3600,,6500,6000,6000,5500,5000,,2800,4000,5000,10000,,,,8000,2800,10000,5617
"",,Wholesale,4500,3200,,6000,5000,4200,4500,4500,,2300,3700,5000,8000,,,,5000,2300,8000,4658
"Fish, Tilapia",whole,Retail,4500,3800,4500,6000,4500,,6500,8500,2000,6000,6000,3300,7000,8000,4000,6000,7000,2000,8500,5475
"",,Wholesale,4000,3300,3500,5500,4000,,5500,8000,1800,5000,5500,3000,6000,,3500,4000,6000,1800,8000,4573
Goat Meat,Kg,Retail,4500,5000,5500,6000,6000,6000,5500,7000,5000,5500,5000,5500,,5000,5400,6000,5500,4500,7000,5525
"",,Wholesale,3500,5000,4500,5500,5000,4600,5000,6500,4800,5000,4800,5500,,4000,5200,5000,5000,3500,6500,4931
"Groundnuts, Unpounded",Kg,Retail,2400,2800,1800,3000,2500,2500,2400,2000,2400,2200,2000,2500,1600,2500,2200,2500,2500,1600,3000,2341
"",,Wholesale,2100,2500,1700,2500,2100,1950,2200,1700,2300,1800,1800,2000,1400,2250,2100,2300,2400,1400,2500,2065
"Honey, Processed",Kg,Retail,10000,3500,,6000,8000,,6500,8500,,9000,6400,,4000,4500,,7000,,3500,10000,6673
"",,Wholesale,8000,3500,,5500,7000,,5700,8000,,7000,6000,,3500,3500,,6000,,3500,8000,5791
"Honey, Unprocessed",Kg,Retail,7000,2800,,5000,,7000,2900,7000,,3000,2600,,3500,7000,,3500,,2600,7000,4664
