"",October,Product,July,August,October
"",,Diesel,"2,591","2,678","2,371"
2800,,Kerosene,"2,330","2,379","2,266"
"",,Petrol,"2,637","2,724","2,510"
Station,Diesel,Kerosene,Petrol
Caltex,2390,2320,2540
City Oil,2340,,2510
Delta,2378,2263,2502
Engen,2390,2250,2525
Fuelex,2400,2200,2500
Gapco,2400,2320,2536
Gaz,2375,,2525
Hared,2365,2243,2510
Hass,2333,2217,2500
Kobil,2438,2310,2560
Mogas,2339,,2445
Pearl,2353,2283,2480
Petro,2356,2263,2477
Rio Oil,2390,2300,2480
Shell,2364,2243,2504
Total,2357,2269,2508
Mo Petrol,2350,2290,2440
AVERAGE,2372,2269,2502
"",Bwaise
"",Figure BIIwI: aCisoemparison of diesel prices within Kampala aBnwde yEongteerbebree as of 6th Oct. 2008
2700,Bweyogerere Jinja Road
"",Jinja Road Kabalagala
"",Kabalagala
2600,KalerweKalerwe Kampala Road
"",Kampala Road
"",Kamwokya
2500,Kamwokya Kawuku
"",Kawuku
"",Kibuli
"",Kibuli
Kireka2400,Kireka
"",Kitintale
"",Kitintale
"",Luzira
"",Luzira
"",Makindye
"",Makindye
"",MengoMengo
"",Mulago
"",Mulago
"",Nakawa Nakawa
"",Nakulabye Nakulabye
"",Nalya Nalya
"",Nateete Nateete
"",Nsambya Nsambya
"",Ntinda Ntinda
