"",,,,,Central,,,,Eastern,,Northern,,,Western,,
Commodity,Weight,,Kalerwe,Kiboga,Masaka Nakasero,Nakawa,Owino,Iganga,Jinja Mbale,Soroti,Arua Lira,Hoima,Kabale,Kasese Kisoro,Mbarara,Avg
Apple Bananas,Kg,Retail,1000,400,800,800,600,700,200 350,350,800 1500,,1100,600 400,,686
"",,Wholesale,800,350,700,500,550,500,175 300,300,600 1300,,550,550 300,,534
Beef,Kg,Retail,5000,4000,5000 5500,5000,5000,5000,5000 4500,4500,5000,4000,3500,4000 5000,4000,4625
"",,Wholesale,4000,3400,4500 4800,3700,4500,4500,4500 4500,4300,5000,,,4000 4500,3500,4264
"Cassava, Dry Fermented",Kg,Retail,,,,,400,500,380,400,700 500,,,,,480
"",,Wholesale,,,,,370,400,350,360,680 500,,,,,443
"Cassava, Flour",Kg,Retail,800,800,650 900,800,650,800,800 900,650,800 1500,550,1000,600 1000,800,824
"",,Wholesale,700,600,400 800,650,520,600,700 700,550,750 1200,500,750,600 800,700,678
"Cassava, Fresh",Kg,Retail,350,500,800 600,500,650,700,270 700,250,550 800,500,800,340 400,,544
"",,Wholesale,280,350,500 500,420,600,500,250 600,200,500 500,200,500,310 300,,407
"Cassava, Sun dried",Kg,Retail,,400,,800,400,450,350 700,400,700 500,450,450,,700,525
"",,Wholesale,,300,,650,370,350,300 600,350,680 500,400,,,700,473
Cavendish (Bogoya),Kg,Retail,,500,1000 900,800,800,900,500 600,450,800,1000,750,700 400,,721
"",,Wholesale,,350,700 750,600,600,700,480 500,400,700,500,600,600 300,,556
"Chicken, Exotic",bird,Retail,7500,7000,7000 7000,6000,8000,7500,8000 6000,8500,12000,7000,7500,7000,7000,7533
"",,Wholesale,7000,5500,6000 6000,5000,6000,5500,7500 6000,8000,8000,6000,6000,6500,6000,6333
"Chicken, Local",bird,Retail,15000,10000,13000 10000,,16000,11000,10000 12000,10000,14000 22000,13000,9000,12000 18000,10000,12813
"",,Wholesale,12000,8500,10000 8000,9000,13000,8000,8500 10000,9000,11000 18000,10000,6800,11000 13000,8000,10224
Coffee (Unprocessed),Kg,Retail,,1300,700,,1100,1800,2800,,2500,,,700 1600,,1563
"",,Wholesale,,1000,500,,1000,1600,2300,,,1000,,700 1400,,1188
Cotton (Unprocessed),Kg,Retail,,,,,1200,,,,450,,,,,825
"",,Wholesale,,,,,1100,,600,,400,600,,,,675
Cow Peas,Kg,Retail,1800,2200,2500,1400,,1800,2200 1400,1000,1600 2000,3000,1800,1400,2400,1893
