Commodity,,,Kalerwe,Kiboga,Luwero,Masaka,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kisoro,Kasese,Mbra,Avg
Maize Flour,Kg,Retail,1500,1500,1200,1200,1400,1200,1300,1300,1300,1200,1400,1500,1350,1400,1400,1300,1000,1200,1100,130
"",,Wholesale,1300,1250,1100,950,1200,1050,1100,1200,1200,1000,1350,1300,1300,1200,1200,1150,800,1100,1000,114
Maize Grain,Kg,Retail,1000,500,1000,1000,800,700,620,700,800,800,900,800,580,900,650,1000,500,1000,1000,80
"",,Wholesale,900,460,800,700,700,680,500,600,750,500,700,720,550,800,600,620,450,900,800,67
Matooke,Kg,Retail,380,500,1200,212,440,350,450,300,400,11000,500,400,,,500,450,200,600,800,1099
"",,Wholesale,310,400,700,188,390,300,380,280,300,10000,400,350,,,,400,150,550,600,981
Matooke (Bunch),Bunch,Retail,6500,9000,7400,8500,9500,10000,15500,15000,8000,,10500,7000,16300,10000,7000,12000,9000,10000,5000,9789
"",,Wholesale,5000,5700,6800,7500,8500,7500,13000,14000,6000,,9500,6500,15800,7000,,9500,8000,9000,4500,845
Milk,Ltrs,Retail,800,800,500,700,700,800,1000,800,500,1000,800,1000,1000,1200,700,500,700,750,500,77
"",,Wholesale,700,600,500,400,600,700,800,700,400,900,700,800,800,1000,600,400,500,700,400,642
Millet Flour,Kg,Retail,1200,1600,1150,1500,1900,2000,1400,1500,,1500,1400,1600,1200,1500,2000,1500,1300,1400,700,1464
"",,Wholesale,900,1400,850,1300,1500,1600,1100,1300,,1200,1350,1500,1100,1400,,1200,1200,1350,600,1226
Millet Grain,Kg,Retail,1200,1200,900,1400,1100,1100,1000,1000,1050,1000,1000,1200,1200,500,900,1200,1200,1300,850,1068
"",,Wholesale,900,800,650,1200,1000,1050,850,900,1000,900,950,1000,1000,500,800,950,1100,1200,600,913
Pineapple,whole,Retail,1000,2100,1200,800,1500,1200,2200,2200,,2000,1500,2500,1900,2000,2000,500,800,1200,800,152
"",,Wholesale,800,1100,800,700,1200,800,1800,2000,,1500,1400,,1700,1500,1300,350,500,1000,500,1115
Pork,Kg,Retail,5000,4000,4200,4000,5000,5000,,6000,,4000,4000,,4500,4500,2000,4800,5000,5000,,446
"",,Wholesale,4500,2800,3800,3500,3500,4200,,5000,,4000,3800,,4300,4000,,3800,4500,4800,,403
Rice (Kayiso),Kg,Retail,1900,2250,1600,4000,2100,2300,2000,1200,1800,2000,2200,2400,1830,2200,,2500,2800,,2300,2199
"",,Wholesale,1800,2100,1400,3500,1900,1800,1800,1100,1600,1700,2100,2300,1780,2000,,2200,2500,,2000,197
Rice (Super),Kg,Retail,2400,2600,2500,2000,2500,2300,2400,2500,2000,2200,,2500,2600,2200,2200,2500,2200,2200,2000,232
"",,Wholesale,2200,2300,2300,1800,2300,2100,2200,2400,1800,2000,,2400,2300,2000,,2200,2000,2100,1550,211
Rice (Upland),Kg,Retail,1800,2200,2500,2000,2100,2000,1900,2200,,,2400,2000,1850,2000,2000,,2000,1540,1800,201
