Commodity,Units,Values,Average,Arua,Busia,Fort Porta Gulu,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara,NakaseroNakawa Owino,Soroti
Agwedde Beans,Kg,R.P,1575,,,950,1683,1733,1400,2000,,1100,2333,1300,2050,1200,
"",,W.P,1435,,,750,1463,1600,1300,2000,,1000,2133,1200,1900,1000,
Apple Bananas,Kg,R.P,1271,1400,1525,883 1583,1230,2150,590,2000 733,730,2130,1733,875 1138,1125,1183 1117 983,1050
"",,W.P,1035,1100,1283,650 1033,1040,1858,510,1500 600,630,1880,1558,663 825,983,900 908 883,867
Beef,Kg,R.P,6266,7667,6333,5750 6250,6100,6900,5833,8000 6167,5800,6167,6000,6250 6000,5833,6250 6583 5833,5333
"",,W.P,5783,7667,6217,5550 5575,5700,6500,5833,6500 5517,5200,5442,5717,5375 5860,5750,5417 5800 5217,5033
Cassava Flour,Kg,R.P,1022,967,1000,1233 1425,880,542,783,1500 983,890,1050,1193,833 1070,1142,1033 1000 1050,850
"",,W.P,861,850,840,908 1150,740,474,650,1400 800,770,913,1089,707 910,975,817 783 875,717
Cavendish (Bogoya),Kg,R.P,1773,1200,1675,1767 2250,2260,875,2117,4000 1233,860,3067,2117,975 1613,2275,1458 1267 1450,1233
"",,W.P,1445,1000,1383,1417 1575,1780,788,1800,3000 1192,740,2758,1847,775 1250,1900,917 1017 1300,1008
Coffee (Arabica),Kg,R.P,2854,,1600,3500 2200,1600,1200,2800,5980,3575,1600,2000,5525 8033,1000,1600 1600 2800,1900
"",,W.P,2488,,1400,2500 1850,1400,1100,2300,5760,3275,1400,,4125 7700,700,1400 1400 2300,1200
Coffee (Robusta),Kg,R.P,3184,,,,,1867,,,4500,,,,,,
"",,W.P,2850,,,,,1700,,,4000,,,,,,
Cow Peas,Kg,R.P,2262,2433,1400,2186 1700,2240,2160,1500,3500 2367,2520,3133,2508,1875 2180,2500,2417 1800 2717,1850
"",,W.P,2006,,1217,1971 1400,2000,1980,1333,3200 2250,2180,3067,2333,1625 1780,2233,2100 1517 2417,1508
Dry Fermented Cassava,Kg,R.P,650,800,540,1400,470,484,675,662,525,,550,625 400,500,400 988 800,575
"",,W.P,554,700,500,1000,428,438,600,600,485,,500,585 350,425,350 675 700,525
Exotic Chicken,bird,R.P,10082,12333,11167,9800 10333,9125,10000,10800,12000 8100,8000,10800,12625,10000 9100,10600,9200 7800 7667,12100
"",,W.P,8169,,9167,8400 7333,7875,8250,10000,9000 7000,6000,9700,7250,7500 8200,9125,7800 6700 6750,11000
Exotic Eggs,tray,R.P,7347,9000,8433,7286 9250,6500,6860,7500,9333 7283,6100,6717,6950,6800 6840,6900,7400 6933 6750,6750
"",,W.P,6394,7500,6317,6157 6925,6025,6320,6633,8000 7083,5700,5967,6467,5525 6420,6233,6233 5950 5633,6400
Fresh Cassava,Kg,R.P,782,617,975,1167 1060,950,504,683,500 433,620,643,1275,818 498,1042,660 825 1133,458
"",,W.P,613,533,792,817 760,694,470,600,300 400,510,535,1100,650 382,767,450 562 917,400
Goat Meat,Kg,R.P,7128,9000,6750,6833 7250,6580,7100,6583,9000 7333,6700,7083,6667,7000 6800,6500,7417 7583 7167,6083
"",,W.P,6529,9000,6567,6500 6450,5860,6500,6583,7000 6800,5760,6800,6550,5675 6660,6267,6150 6300 6717,5920
Groundnuts,Kg,R.P,2832,4000,2817,3833 2525,2680,2700,2967,3000 2617,2680,2583,3250,2125 2660,2800,2950 2617 2550,2450
"",,W.P,2454,3000,2450,3400 2225,2340,2410,2700,2500 2400,2370,2275,3017,1788 2310,2467,2450 2300 2100,2133
Irish Potatoes,Kg,R.P,1028,1500,670,1376 923,888,964,825,1000 689,703,1165,2070,993 900,1113,1065 903 875,903
"",,W.P,826,1200,603,1072 779,697,840,733,567 645,610,1019,1780,805 680,808,669 708 717,767
Kayiso Rice,Kg,R.P,2530,,2433,2917 2550,2840,2160,2550,2800 2550,2440,2800,2683,1925 2420,2883,2367 2467 2467,2283
"",,W.P,2258,,2167,2542 2225,1940,1970,2350,2600 2417,2140,2570,2400,1725 2188,2683,2167 2217 2242,2108
Local Chicken,bird,R.P,15871,21667,15250,17833 18000,18000,18300,13583,20000 16583,16000,15250,16000,12875 10700,14333,15583 13917 13833,13833
"",,W.P,13028,17500,12000,14833 11250,14300,15200,12500,15000 13500,14200,13667,12917,11500 9000,11917,12417 12000 11500,12333
Local Eggs,tray,R.P,10923,12000,11167,10143 9750,9420,9000,12000,16000 11250,10100,9500,10000,8875 10440,10833,11333 11483 11583,12660
"",,W.P,9582,,7960,8657 8250,8225,8667,12000,12000 9467,9000,8467,10950,7500 9160,10660,10983 8450 10000,12080
Maize Flour,Kg,R.P,1518,2000,1520,1550 1550,1410,1440,1700,1800 1333,1430,1333,1617,1325 1280,1667,1517 1483 1333,1550
"",,W.P,1281,1467,1124,1350 1275,1176,1282,1517,1400 1133,1312,1167,1493,1188 1096,1500,1200 1183 1150,1325
Maize Grain,Kg,R.P,889,733,808,1158 788,760,688,817,800 570,788,762,1100,655 1940,1117,1008 908 800,695
"",,W.P,683,600,603,833 638,636,606,717,500 533,720,675,1017,513 670,967,833 667 647,610
Matooke,bunch,R.P,18579,17667,26667,11667 21000,20667,18167,20667,14000 13000,15000,20167,18000,21667 21000,17000,25000 16000 18000,17667
"",,W.P,15224,15333,24667,9333 15750,18333,16333,16333,12000 8333,12000,18333,15333,14000 18667,14000,15000 14000 15000,16500
Matooke (kg),Kg,R.P,856,483,1025,1438 1163,606,432,450,1000 1158,380,767,1225,394 1330,1171,783 779 764,913
"",,W.P,669,400,833,996 875,472,392,383,600 1134,342,675,1133,330 860,925,508 563 496,792
Milk,Litre,R.P,993,1267,1117,850 1125,1200,1000,783,1200 1017,800,933,850,1050 980,750,967 917 850,1217
"",,W.P,813,1000,783,683 875,985,830,617,1000 908,660,867,717,775 820,671,734 688 717,1125
Millet Flour,Kg,R.P,1822,2500,1433,2400 1775,1567,1620,1617,2200 1520,1720,1533,1917,1625 1840,2000,1983 1983 1700,1683
"",,W.P,1589,2200,1333,2050 1475,1342,1460,1433,1800 1320,1520,1367,1717,1400 1660,1800,1683 1667 1450,1517
Millet Grain,Kg,R.P,1215,1500,1267,1333 1350,1238,1044,1267,1700 742,1200,1083,1392,1083 1170,1408,1017 1150 1175,970
"",,W.P,1069,1400,956,1000 1100,1150,946,1100,1500 667,1116,1002,1283,943 1070,1283,917 1000 992,888
Nambale Beans,Kg,R.P,1533,1567,1750,1600 1475,1400,1560,1400,2000 1610,1167,1220,1733,1300 1350,1483,2083 1560 1358,1517
"",,W.P,1330,,1306,1383 1225,1260,1390,1240,1800 1470,1017,1100,1650,1125 1250,1350,1617 1220 1175,1367
Commodity,Units,Values,Average,Arua,Busia,Fort Porta Gulu,Iganga,Jinja,Kabale,Kalerwe Kasese,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara,NakaseroNakawa Owino,Soroti
Nile Perch,Kg,R.P,7086,6500,4250,4533 6667,7400,6300,5825,12000 7600,5500,7700,7667,6700 6900,7333,9000 8000 8333,6417
"",,W.P,5969,,4150,3200,5100,6480,5500,5500,9000,6940,4667,7000,7200,4625,5060,6667,7060,6700,6767,5833
