"",,,,,Central,,,,,Eastern,,,,Northern,,Western,
Commodity,Unit,,Kalerwe,Kiboga,Masaka,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Gulu,Lira Arua,Hoima,Kasese Mbarara,AVG
Honey (Processed),1Kg,Retail,"8,000",,"8,000","7,000","7,500","6,000","14,000",,"9,000",,"4,500","4,000 4,300",,"4,000","6,936"
"",,Wholesale,"7,500",,"6,000","6,000","6,500","5,600","11,000",,"7,000",,"4,000","4,000 4,000",,"2,000","5,782"
Honey [Unprocessed],1Kg,Retail,"7,500","7,000",,,,"2,500","9,000",,"3,629","2,500","3,000","4,500",,"1,100 7,000","4,773"
"",,Wholesale,"7,000","6,000",,,,"2,300","8,000",,"2,941","2,300","2,500","4,000",,"10,000 6,500","5,154"
Irish Potatoes,1Kg,Retail,550,600,"1,000",480,430,600,600,400,400,600,"1,200","1,000 1,300",500,240,660
"",,Wholesale,330,500,550,400,400,520,500,300,350,550,"1,000","850 1,200",380,200,535
Maize Flour,1Kg,Retail,"1,300","1,400","1,300","1,400","1,300","1,100","1,200","1,200","1,100","1,200","1,300","1,500 1,500","1,200","1,100 2,000","1,319"
"",,Wholesale,"1,100","1,200","1,200","1,250","1,200","1,000","1,100","1,000","1,000",900,"1,200","1,200 1,360","1,000","1,000 1,800","1,157"
Maize Grain,1Kg,Retail,"1,000",700,550,950,730,650,700,600,600,500,600,750 700,650,"1,200",725
"",,Wholesale,850,550,350,750,700,550,600,500,500,450,500,700 600,600,"1,000",613
Matooke,1Kg,Retail,350,400,175,400,370,400,280,400,400,250,"3,000","1,600 600",350,"207 2,000",699
"",,Wholesale,280,350,162,360,330,300,250,350,300,200,"2,500","1,500 500",,"200 1,500",605
Matooke (Bunch),Bunch,Retail,"6,500","7,000","7,000","9,000","10,000","16,000","14,000","8,000","10,000",,"17,000","8,000 12,000","6,000","6,000 10,000","9,767"
"",,Wholesale,"6,000","5,500","6,500","8,000","8,000","14,000","12,500","7,000","9,000",,"17,000","7,500 10,000","5,000","5,500 8,000","8,633"
Milk (One Litre),Ltrs,Retail,800,700,800,900,700,400,760,500,800,800,"1,200","650 1,000",700,700 500,744
"",,Wholesale,700,500,400,800,600,300,600,400,600,700,"1,000",600 800,500,700 400,600
Millet Flour,1Kg,Retail,"1,600","1,600","1,900","1,800","2,000","1,550","1,500",,"1,500","1,350","1,100","1,200 1,600","2,000","1,300 2,000","1,600"
"",,Wholesale,"1,400","1,400","1,400","1,400","1,500","1,350","1,200",,"1,200","1,200",800,"900 1,500",,"1,200 1,800","1,304"
Millet Grain,1Kg,Retail,"2,000","1,200","1,400",950,"1,000","1,100",900,"1,050","1,200",800,850,"1,000 1,000","1,100","1,100 1,700","1,147"
