Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
atooke (Bunch),Bunch,Retail,6500,6000,13000,8000,12000,8000,8000,13000,8000,10000,10000,8000,12500,9000,8000,7000,13000,9500,4500,915
"",,Wholesale,6000,4000,10000,6000,11000,7000,6000,10000,6000,7000,9000,6000,10000,7000,,5000,12500,5300,4000,732
ilk,Ltrs,Retail,800,800,600,800,800,900,900,1000,400,800,800,900,1000,1200,700,700,1400,800,600,83
"",,Wholesale,800,700,500,700,700,800,800,800,350,700,700,800,800,1000,600,550,1350,600,500,72
illet Flour,Kg,Retail,1200,1500,1600,1500,2000,2000,2000,1600,1800,1700,1400,2000,1300,1000,3000,1500,1400,1600,1800,167
"",,Wholesale,900,1400,1500,1300,1800,1600,1700,1300,1700,1500,1350,1700,1200,800,,1200,1350,1400,1500,140
illet Grain,Kg,Retail,1200,1300,1000,1400,1500,1000,1150,1100,1300,1100,1000,1150,1000,1200,1500,1200,1100,1250,1200,119
"",,Wholesale,900,1200,800,1200,1400,850,1050,950,1200,1000,900,1050,900,1000,800,1050,1000,850,900,100
ineapple,whole,Retail,1300,800,900,800,2000,1000,1200,1600,,1000,1550,1200,2200,2000,,500,1600,2000,1200,134
"",,Wholesale,1000,500,800,600,1500,700,800,1000,,800,1400,800,1800,1500,,350,1400,1200,1000,100
ork,Kg,Retail,4500,5000,5000,4500,,5000,4500,,2200,3000,4000,4500,4500,,5000,4500,,2500,5500,428
"",,Wholesale,4000,4500,4500,3500,,3500,4000,,2100,2700,3800,4000,4300,,,3800,,2400,4000,365
ice (Kayiso),Kg,Retail,2200,2800,2400,2400,,2200,2400,1800,2500,1700,2200,2400,2400,2400,,2500,,2500,2500,233
"",,Wholesale,2000,2500,2300,2000,,2000,2200,1600,2300,1550,2100,2200,2300,2200,,2200,,2400,2300,213
ice (Super),Kg,Retail,2500,2500,2400,2300,2500,2500,2600,2300,2500,2400,2400,2600,2600,2700,2800,2400,,2600,2500,250
"",,Wholesale,2400,2300,2250,1800,2200,2200,2400,2100,2300,2200,2300,2400,2400,2500,,,,2500,2400,229
ice (Upland),Kg,Retail,2000,2200,2100,2300,2500,2200,2300,1900,,,,2300,2400,2200,2000,2200,,2300,2000,219
"",,Wholesale,1900,2000,1900,1800,2300,2000,2100,1700,,,,2100,2200,2000,1800,1850,,2100,1800,197
imsim,Kg,Retail,3000,,2700,3000,4000,2800,2500,2200,2500,2400,2400,2300,2400,3000,,,,,4000,280
"",,Wholesale,2800,,2500,2700,3500,2500,2000,2000,2400,2300,2300,2000,2200,2500,,,,,3800,253
orghum Flour,Kg,Retail,1000,1000,1400,,1800,1200,1000,1000,900,800,1000,1000,1300,600,1800,1500,1400,,1000,115
"",,Wholesale,700,900,1300,,1500,900,800,800,700,700,850,800,1000,400,,1400,1300,,800,92
orghum Grain,Kg,Retail,700,900,1200,,1600,1000,620,700,,500,650,620,850,1000,,1100,1100,1500,1200,95
"",,Wholesale,500,800,1000,,1400,700,600,600,,470,600,600,750,800,,1000,1000,1300,1000,82
oya Beans,Kg,Retail,2000,1400,1800,1400,1600,1600,1400,1300,1800,1200,1400,1400,,1400,900,1450,,1500,1500,147
"",,Wholesale,1800,1200,1500,1300,1500,1300,1100,1200,1700,1000,1200,1100,,1200,800,1400,,1300,1400,129
unflower,Kg,Retail,,,,,,,400,,,,450,400,,,,,,,,41
"",,Wholesale,,,,,,,370,,,,400,370,,,,,,,,38
weet Potatoes,Kg,Retail,530,150,,1000,400,350,520,1000,400,130,450,520,1000,1500,600,200,1000,650,,61
"",,Wholesale,440,100,,600,350,300,500,800,300,130,400,500,800,1000,500,170,900,450,,48
ea (Unprocessed),Kg,Retail,,,,,,,,,,,,400,,,,,,,,40
"",,Wholesale,,,,,,,,,,,,350,,,,,,,,35
urkey,bird,Retail,,,,,3000,35000,33000,35000,,25000,33000,33000,,,,,,27000,37000,2900
"",,Wholesale,,,,,2500,30000,25000,32000,,20000,31000,25000,,,,,,24000,35000,2494
anilla (Unprocessed),Kg,Retail,,,,,,,2700,,,,,2700,,,,,,3000,,280
"",,Wholesale,,,,,,,2300,,,,,2300,,,,,,2500,,236
