Commodity,,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorw,Soroti,Arua,Lira,Hoima,Kabale,Kasese,Kisoro,Mbarara,Avg
"",,Wholesale,,1250,900,1100,1400,1300,1200,1250,1200,1300,1350,,1200,1200,,1200,900,1000,1183
Maize Grain,Kg,Retail,1250,700,,1000,1100,950,710,750,680,900,800,1225,900,750,,1000,,1000,914
"",,Wholesale,1150,550,,700,1000,850,700,650,650,850,750,1125,700,700,,900,,800,805
Matooke,Kg,Retail,330,500,,175,500,430,350,450,240,400,550,450,1200,500,440,,250,,451
"",,Wholesale,270,400,,150,450,390,320,400,200,300,450,400,1000,,400,,225,,383
Matooke (Bunch),Bunch,Retail,9000,8300,15000,7000,13000,9500,11000,15500,12000,8000,10000,13000,9000,7500,,9500,10000,5500,10165
"",,Wholesale,7500,4700,10000,6000,11000,8500,9000,13500,10000,6000,9500,11000,7000,,,8500,9000,5000,8513
Milk,Ltrs,Retail,800,800,600,700,800,800,800,1000,800,500,800,1000,1200,700,,750,700,500,779
"",,Wholesale,700,600,500,400,700,700,700,800,700,400,700,900,1000,600,,700,500,400,647
Millet Flour,Kg,Retail,1200,1600,1300,1500,1800,2000,2000,1500,800,,1450,1600,1500,2500,1500,1400,1400,1800,1579
"",,Wholesale,900,1400,1200,1300,1500,1600,1700,1200,700,,1350,1500,1200,,1200,1350,1300,1500,1306
Millet Grain,Kg,Retail,1200,1200,900,1400,1300,1200,1200,1100,1100,1300,1100,1200,,1200,1200,1300,1300,1300,1206
"",,Wholesale,900,800,700,1200,1250,1100,1050,100,1000,1200,950,1050,,1000,950,1200,1200,1000,979
Pineapple,whole,Retail,1000,2000,1000,800,,1000,1200,2800,2000,,1550,2300,2500,1500,,1200,,1300,1582
"",,Wholesale,780,1000,850,700,,700,800,2300,1800,,1400,1900,1800,1000,,1000,,1000,1216
Pork,Kg,Retail,5000,3700,4300,4000,2500,5000,4800,,6000,,4000,5000,4500,5000,4800,5000,5000,5500,4631
"",,Wholesale,4500,2700,4000,3500,2300,3500,4100,,5000,,3800,,4000,,3800,4800,4500,4000,3893
Rice (Kayiso),Kg,Retail,2400,2500,2400,2400,2400,2400,2400,2200,2200,2200,2200,2400,2200,,2700,,2800,2500,2394
"",,Wholesale,2300,2250,2300,2000,2200,2200,2200,1900,2000,2100,2000,2300,2000,,2200,,2500,2300,2172
Rice (Super),Kg,Retail,2600,2700,2500,2400,2600,2800,2600,2600,2600,2400,2400,2500,2500,2800,,2200,2200,2600,2529
"",,Wholesale,2500,2500,2250,2000,2400,2600,2300,2300,2000,2300,2200,2400,2300,,,2100,2000,2400,2284
Rice (Upland),Kg,Retail,2300,2300,2200,2000,2500,2400,2200,2200,2200,,,2400,2200,2200,2500,1540,2000,1800,2184
"",,Wholesale,2100,2100,2000,1800,2400,2200,2100,1900,2000,,,2000,2000,2000,1850,1530,1800,1500,1955
Simsim,Kg,Retail,3000,3000,2700,3000,5000,2500,2500,2300,2000,2500,2500,2500,2500,2800,3800,2100,,4000,2865
"",,Wholesale,2800,2500,2500,2700,4500,2200,1900,2150,1900,2400,2300,1800,2200,,2800,2000,,3800,2528
Sorghum Flour,Kg,Retail,1000,,1400,,,1200,1000,1000,1000,900,1000,1500,800,1500,1700,1400,1000,1000,1160
"",,Wholesale,700,,1300,,,900,800,800,900,700,900,1400,600,,1400,1300,900,800,957
Sorghum Grain,Kg,Retail,700,700,1300,,1800,1000,650,700,800,,650,1000,400,1000,1400,1300,900,,953
"",,Wholesale,500,500,1000,,1700,700,620,600,700,,550,800,350,700,1100,1200,800,,788
Soya Beans,Kg,Retail,2000,1500,1800,1400,1500,1700,1400,1350,2000,1800,1500,2000,1500,,1800,1200,1000,1450,1582
"",,Wholesale,1780,1200,1500,1300,1400,1500,1200,1200,1800,1700,1300,1200,1200,,1450,1000,800,1400,1349
Sweet Potatoes,Kg,Retail,530,650,1200,800,350,350,550,1000,300,,500,800,1200,600,250,1200,150,,652
"",,Wholesale,460,450,800,500,300,300,520,800,280,,450,700,1000,450,150,1000,100,,516
Tea (Unprocessed),Kg,Retail,,,,,5000,,,,,,,,,,,,,,5000
"",,Wholesale,,,,,4500,,,,,,,,,,,,,,4500
Turkey,bird,Retail,,27000,30000,,30000,35000,,30000,36000,,31000,,,,,,,38000,32125
"",,Wholesale,,24000,25000,,25000,30000,,27000,34000,,29000,,,,,,,35000,28625
Vanilla (Unprocessed),Kg,Retail,,3000,,,6000,,2500,,,,,,,,,,,3500,3750
