"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS,KLE KSR,MBR,Avg,Prices
Animal Products,,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000,5000,5000 5000,5000,5000,5000,4500,6000 4400,4500,4000,5000 5000,4500,4200,4000 4500,4200,4726,
"",,Wholesale,4500,4500,4500 3800,4500,4500,5000,4000,5000 4000,4300,3700,5000 4500,4500,4000,3500 3800,4000,4295,
Goat Meat,Kg,Retail,6000,6000,5500 6000,7500,7000,5000,5000,6000 5000,,5000,5500 5000,6000,5000,5000 6000,6000,5694,
"",,Wholesale,5000,5000,4500 4800,6500,4500,5000,4500,5000 4500,,4600,5500 4000,6000,4800,4800 4000,5500,4917,
"Honey, Processed",Kg,Retail,,7000,5500,8000,,15000,8800,6000,,7000,4500,14000,,8000 10000,6000,8317,
"",,Wholesale,,6000,4500,7500,,14000,7200,5000,,6500,3700,12000,,7500 8000,5500,7283,4000
"Honey, Unprocessed",Kg,Retail,,3500,,5000,,,5400,4000,,5000,,,,6000 8000,5000,5238,
"",,Wholesale,,3100,,4500,,,4600,3000,,4500,,,,5000 7000,4500,4525,
Milk,Ltrs,Retail,800,1100,1200 1000,1000,1200,1200,1000,800 550,800,800,1000 900,800,800,600 1000,800,913,
"",,Wholesale,500,1000,600 900,800,1000,800,900,700 400,700,700,700,500,750,500 600,700,708,
Pork,Kg,Retail,5000,6500,5000 5000,,,4000,,5000 4000,4400,4000,5000 5000,4000,4200,6000 4000,,4740,
"",,Wholesale,4500,6000,4000 3500,,,3800,,4000 3600,3700,3700,5000 2500,3500,4000,5000 3500,,4020,
Cereals,,,,,,,,,,,,,,,,,,,
Maize Flour,Kg,Retail,800,900,850 1200,1500,850,700,700,550 1000,,900,1200 800,1200,700,1000 1200,950,944,
"",,Wholesale,600,800,750 800,1400,750,600,600,450 800,,700,900 600,1000,650,900 1050,820,787,
Maize Grain,Kg,Retail,1000,350,350 600,900,300,300,250,220 400,250,400,800 300,700,200,400 240,700,456,
"",,Wholesale,800,300,250 400,700,250,230,200,210 350,220,300,600 250,300,180,350 210,600,353,
Millet Flour,Kg,Retail,2000,1200,1700 2000,2500,1800,,1400,1400 1800,1800,1600,1800 1500,2500,1300,1500 1700,2000,1750,
"",,Wholesale,1800,1100,1300 1600,2200,1600,,1200,1300 1700,1600,1400,1500 1000,1700,1200,1300 1500,1800,1489,
Millet Grain,Kg,Retail,2000,1000,1500 1200,2200,950,830,1100,1000 1200,1000,1000,1000 600,1500,1100,1200 1300,1000,1194,
"",,Wholesale,1700,900,1300 1000,1500,900,669,1000,900 1100,800,900,700 500,1100,1000,1000 1200,700,993,
Rice (Kayiso),Kg,Retail,2000,2600,2100 1700,1700,1600,1100,1150,1000 2200,1200,1600,2000 1700,2300,,2500,2500,1821,
"",,Wholesale,1800,2400,1700 1400,1500,1300,900,970,900 2000,1050,1400,1800 1500,2000,,2300,2300,1601,
Rice (Super),Kg,Retail,2000,2200,2100 1900,2200,1800,1500,1900,1600 2300,1500,1800,2500 1900,2500,,2200 2600,2400,2050,
"",,Wholesale,1800,2100,1700 1700,2000,1500,1200,1850,1400 2250,1300,1600,2000 1700,2100,,2000 2300,2100,1811,
Rice (Upland),Kg,Retail,1700,2000,2500 1700,2500,1800,1600,1700,1000 1800,,,2000 1700,2000,,2100,2800,1927,
"",,Wholesale,1500,1800,1800 1400,2300,1600,1250,1600,900 1600,,,1800 1500,1600,,1800,2500,1663,
Simsim,Kg,Retail,4000,,3200 3000,5000,3000,2400,2650,2400 2500,2600,2400,2500 2300,4000,2800,,3700,3028,
"",,Wholesale,3500,,2800 2600,4500,2300,2100,2400,2000 2400,2400,2000,1800 2000,3000,2600,,3500,2619,
Sorghum Flour,Kg,Retail,2200,700,1000,1800,550,,850,700 1000,350,600,1000 600,,1300,900,1000,970,
"",,Wholesale,2000,600,700,1700,450,,550,600 900,300,500,800 300,,1250,800,800,817,
Sorghum Grain,Kg,Retail,2000,600,800,1700,300,240,600,500,250,2300,800 200,1000,800,300 800,950,832,
"",,Wholesale,1800,500,500,1500,250,210,450,400,200,210,600 150,700,750,250 700,900,592,
Fish,,,,,,,,,,,,,,,,,,,
"Fish, Nile Perch",Kg,Retail,6000,,6500 7500,,8000,4800,5200,7000,,5000,5000 3700,6500,7400,9000 5500,,6221,
"",,Wholesale,5000,,5000 6500,,7000,4500,4200,6000,,4500,3500,6000,7000,8000 4500,,5515,
"Fish, Tilapia",whole,Retail,3500,6500,3500 4500,10000,6000,4300,6500,9000 4000,7000,6000,7000 4000,4500,4800,10000 4000,7000,5900,
"",,Wholesale,3000,5500,2500 4000,7000,5000,3800,5000,8000 3000,6000,5000,3500,3500,4500,8500 3500,6500,4878,
Fruits,,,,,,,,,,,,,,,,,,,
Apple Bananas,Kg,Retail,1000,600,1000 1000,750,1200,1200,1100,150 400,1500,800,600,500,850,500 500,800,803,
"",,Wholesale,800,550,800 700,700,1000,1000,650,130 300,1000,750,500,300,800,400 350,700,635,2000
Cavendish (Bogoya),Kg,Retail,1250,800,920 1000,900,1500,1600,2550,550 1000,1500,800,600 2300,1500,1600,2000 650,1700,1301,
"",,Wholesale,1150,700,600 800,800,1400,1300,1900,450 800,1000,700,500 1800,1000,1500,1500 400,1300,1032,
Matooke,Kg,Retail,220,150,375 360,550,250,600,300,170 250,1000,800,350 1000,800,400,400,700,482,
"",,Wholesale,140,100,150 270,500,200,550,250,150 200,800,700,300 700,500,350,320,600,377,
Matooke (Bunch),Bunch,Retail,4500,6000,4500 8000,9000,7500,12000,11300,7000 5000,8500,20000,8000 8000,2500,7500,4500 7600,2800,7589,
"",,Wholesale,3500,4000,3500 6000,6500,5500,8500,9500,6000 4000,7000,17000,7000 3500,1500,7000,4000 6500,2800,5963,
Pineapple,whole,Retail,600,1000,1000 800,1000,1000,600,1500,1500,1500,2900,1600 3000,1000,1700,500 1600,600,1300,
"",,Wholesale,400,800,500 600,800,700,500,1000,1300,1000,2300,1300 500,700,1600,400 900,500,878,2500
"",,,,,CENTRAL,,,,,EASTERN,,,NORTHERN,,,WESTERN,,,Organic
CommodityName,Unit,,KAL,KIB,MSK NAK,NKS,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU LRA,FTP,KAS,KLE KSR,MBR,,Prices
Oil Seeds,,,,,,,,,,,,,,,,,,,
"Groundnuts, Unpounded",Kg,Retail,3000,2800,2100 2600,4000,2300,2400,2500,1800 3200,2000,2400,2500 4000,3000,2200,2800 3100,2400,2689,
"",,Wholesale,2800,2600,2000 2200,3500,2000,2100,2370,1700 3000,1800,2300,2000 3500,2800,2000,2600 2800,2150,2433,
Soya Beans,Kg,Retail,2000,1300,1900 1500,2000,1200,945,1470,1500 1800,1200,1400,1500 700,1500,,2500 1600,2300,1573,
"",,Wholesale,1800,1100,1800 1200,1700,950,850,1220,1300 1700,1000,1000,700,1000,,2300 1300,2000,1348,
Sunflower,Kg,Retail,,,,3000,400,,,,,600,,,,,3200,1800,
"",,Wholesale,,,,2700,350,,,,,450,,,,,3000,1625,
Poultry Products,,,,,,,,,,,,,,,,,,,
"Chicken, Exotic",bird,Retail,7000,,10000 6000,9000,8000,7000,5500,5500,7000,8000,5000,11000,8500,8000 9000,11500,7875,
"",,Wholesale,6500,,8500 5000,8500,6000,6500,4500,4500,6000,6000,4000,9000,8000,6000 7000,11000,6688,
"Chicken, Local",bird,Retail,9000,14000,15500,15000,15000,8000,11500,14000 8000,8500,11000,10000 8000,15000,19000,9000 11000,14000,11972,
"",,Wholesale,8000,12000,10000 11500,13000,13000,6500,8500,13000 7000,7000,8000,9000 5000,12000,18000,8000 9000,13000,10079,15000
"Eggs, Exotic",tray,Retail,5000,6000,4700 6000,8000,5000,7500,5400,5000 6000,5600,5800,7500 6000,7000,5500,6000 6200,7300,6079,
"",,Wholesale,4500,5500,3600 5000,7000,4500,5400,5000,4500 5500,5400,5600,5800 5500,5000,5200,5500 5000,6700,5274,
"Eggs, Local",tray,Retail,,9000,9000 12000,14000,13000,9000,8200,12000 7000,,9000,7500 6200,9000,8800,9000 12000,7500,9541,
"",,Wholesale,,7500,7500 10000,12000,10000,7500,6200,10000 6500,,8500,5800,7000,8500,8500 9000,6800,8206,
Turkey,bird,Retail,,,42000,32000,40000,7000,32500,43000,,25000,,,,30000,,31438,
"",,Wholesale,,,35000,27000,30000,6500,29500,40000,,23000,10000,,,26000,,25222,
Pulses,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,3200,1700,2800 2000,4000,3200,1500,1750,2000 1800,1500,1200,2500 2500,2200,2000,2200,1000,2169,
"",,Wholesale,3000,1600,2400 1800,3500,3000,1365,1630,1800 1700,1000,1100,1600 1800,2000,1800,2000,900,1889,
"Dried Beans, Agwede",Kg,Retail,,,1400 1200,,1100,,1200,1000,,,1800,,,,,1283,
"",,Wholesale,,,1200 1000,,1000,,1050,900,,,1400,,,,,1092,
"Dried Beans, Nambale",Kg,Retail,1500,,1200 1700,2300,1100,1500,1300,1400 1000,1400,1500,1300 1200,1600,1500,1100 1250,1600,1414,
"",,Wholesale,1300,,1100 1400,2100,1000,1256,1200,1300 800,1200,1300,1200 1200,1400,1450,1000 980,1400,1255,
"Dried Beans, Yellow",Kg,Retail,1600,700,1000 2000,3000,1700,1600,1400,1500,,1550,1500 1300,2200,1700,1000 1250,1450,1556,
"",,Wholesale,1400,600,800 1850,2300,1500,1338,1280,1400,,1350,1300 1300,1800,1600,900 1100,1350,1363,
Root Crops,,,,,,,,,,,,,,,,,,,
"Cassava, Dry Fermented",Kg,Retail,,,,,280,,380,130,,350,300 500,,550,,1000,436,
"",,Wholesale,,,,,250,,290,120,,230,280 200,,500,,800,334,
"Cassava, Flour",Kg,Retail,600,1200,1100 700,,450,450,650,600 1000,500,600,550 350,1000,400,900 1000,800,714,
"",,Wholesale,500,1000,600 400,,400,400,520,500 900,400,450,400 250,800,350,700 700,750,557,
"Cassava, Fresh",Kg,Retail,,550,1000 350,350,350,550,700,110 500,,250,300 900,1000,1000,1000 400,1000,606,
"",,Wholesale,,450,600 250,300,300,550,500,90 400,,200,250 700,500,900,900 250,800,467,
"Cassava, Sun dried",Kg,Retail,,,700,,250,300,380,150,250,350,350 300,,500,500,1000,419,
"",,Wholesale,,,400,,220,250,290,130,200,240,300 200,,450,400,800,323,
Irish Potatoes,Kg,Retail,610,458,1200 720,1000,,830,800,600 250,,600,900 1200,1000,700,450 800,1900,825,1500
"",,Wholesale,540,416,700 640,850,,500,680,500 200,,550,800 1000,500,650,400 600,1600,654,
Sweet Potatoes,Kg,Retail,230,160,1000 400,350,300,600,800,130 400,120,300,300 1000,1000,500,1000 500,1100,536,1500
"",,Wholesale,180,140,600 300,300,250,500,600,110 300,1100,250,250 800,500,400,900 400,1000,467,
Traditional Cash Crops,,,,,,,,,,,,,,,,,,,
Coffee (Unprocessed),Kg,Retail,,2500,1000,,,,,1000 4100,4200,,,,4200,1150,,2593,
"",,Wholesale,,1900,800,,,,,900 4000,4000,,,,4000,1000,,2371,
Tea (Unprocessed),Kg,Retail,5000,,,,,,,,,,,,,,,5000,
"",,Wholesale,4500,,,,,,,,,,,,,,,4500,
Vanilla (Unprocessed),Kg,Retail,,,,,3000,,,,,,,,,4300,3200,3500,
"",,Wholesale,,,,,2700,,,,,,,,,3500,3000,3067,
