Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara
Maize Grain,Kg,Retail,1100,800,1000 1000,1100,1100,600,650,630,600,570,650,600,700,700,1200,850,600,1200
"",,Wholesale,1000,700,800 700,1000,1000,585,580,600,500,540,550,550,600,600,1000,800,500,1100
Matooke,Kg,Retail,420,300,1000 212,650,640,400,450,240,400,1200,500,400,,,,750,800,700
"",,Wholesale,350,250,1000 200,600,550,360,380,220,300,1000,450,350,,,,750,600,600
Matooke (Bunch),Bunch,Retail,9000,12000,10000 9000,13000,14000,18000,14000,12000,8000,13000,9000,12000,14000,,15000,14500,10000,8000
"",,Wholesale,7500,10000,9000 8000,10000,12000,15000,11000,11000,6000,12000,8000,10000,11500,,13500,14000,7000,7000
Milk,Ltrs,Retail,1000,1000,750 1000,1000,1200,1000,1000,800,550,800,800,1000,1000,800,700,800,900,1000
"",,Wholesale,800,900,700 800,900,1000,900,900,700,400,700,700,10000,800,600,600,750,650,900
Millet Flour,Kg,Retail,1200,1600,1300 1500,1800,2000,2000,1300,1600,1800,1800,1500,2000,1400,,2000,,1700,1750
"",,Wholesale,900,1500,1200 1300,1700,1600,1600,1100,1500,1700,1600,1400,1800,1200,,1800,,1400,1500
Millet Grain,Kg,Retail,1200,1500,1000 1400,1950,1200,1150,1050,1200,1300,1200,1000,1600,1200,,1700,,1250,1500
"",,Wholesale,900,1400,800 1200,1700,1000,1000,900,1100,1200,1100,900,1500,1000,,1600,,950,1300
Pineapple,whole,Retail,1000,,1500,3000,2500,1400,2000,2500,1200,2000,1500,1750,2400,,,,2000,
"",,Wholesale,800,,1300,2500,2000,1000,1500,2200,1100,1500,1350,1400,1800,,,,1400,
Pork,Kg,Retail,4700,5000,5000 4500,,5000,5000,,6000,4000,4500,4000,5000,4500,4000,6000,4800,4000,
"",,Wholesale,4000,4500,4500 3500,,3500,4000,,5000,3000,4000,3800,5000,4300,3500,5000,4500,3000,
Rice (Kayiso),Kg,Retail,2000,2800,2500 2400,,2000,2200,1800,2200,2200,1800,2200,2200,2400,2200,,,2500,2500
"",,Wholesale,1800,2500,2400 2000,,1800,2000,1680,2000,2100,1600,2000,,2350,2100,,,2400,2400
Rice (Super),Kg,Retail,2500,2300,2500 2300,2500,2500,2500,,2500,2400,2400,2400,2400,2750,2300,2500,2500,2600,2550
"",,Wholesale,2200,2200,2400 1800,2200,2200,2200,,2200,2300,2300,2300,2000,2550,2200,2350,2400,2400,2500
Rice (Upland),Kg,Retail,2000,2000,2200 2300,2700,2000,2300,1900,2400,2000,,,2200,2600,2200,2400,1700,2300,
"",,Wholesale,1800,1800,2000 1800,2400,1800,2000,1750,2100,1800,,,2000,2400,2100,2200,1600,2100,
Simsim,Kg,Retail,3000,,2700 3300,4500,3000,3000,2500,3000,2500,2500,2500,2500,2700,2500,,,,3800
"",,Wholesale,2800,,2500 2900,4000,2500,2300,2300,2800,2400,2400,2250,,2600,2300,,,,3500
Sorghum Flour,Kg,Retail,1000,900,1400,1800,1200,1000,950,1200,1000,800,1000,1500,1000,,800,1400,,750
"",,Wholesale,700,800,1200,1500,900,850,800,1000,900,700,750,1400,900,,700,1300,,400
Sorghum Grain,Kg,Retail,700,800,800,1600,1000,700,750,800,,550,600,850,850,,,1100,800,1100
"",,Wholesale,500,700,800,1400,700,650,570,700,,520,550,800,850,,,1000,600,1000
Soya Beans,Kg,Retail,2000,1400,1800 1400,1600,1800,1100,1400,2000,1800,900,,,,1000,,,1600,1400
"",,Wholesale,1800,1200,1500 1300,1500,1400,800,1150,1800,1700,800,,,,800,,,1300,1200
Sunflower,Kg,Retail,,,,,,400,,,,,500,,,,,,,
"",,Wholesale,,,,,,370,,,,,400,,,,,,,
Sweet Potatoes,Kg,Retail,,200,1000 1000,650,500,600,1000,360,400,170,500,400,900,700,500,800,700,900
"",,Wholesale,,150,1000 600,600,400,550,800,340,300,160,400,380,800,500,400,700,500,700
Turkey,bird,Retail,,,35000,35000,42000,45000,35000,42000,,25000,33000,35000,,,,,29000,32000
"",,Wholesale,,,30000,30000,35000,36000,33000,40000,,20000,31000,,,,,,26000,30000
Vanilla (Unprocessed),Kg,Retail,,,,,,2700,,,,,,,,,,,3500,3000
"",,Wholesale,,,,,,2300,,,,,,,,,,,3000,2000
