"",Northern,,,,,Eastern,,,,,,Northern,,Western,,
Commodity,kalerwe Luwero,Masaka,N'ksero,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Lira,Arua Gulu,Kabale,Kasese Kisoro,Mb'ra,Avg
Apple Bananas,Kg,Retail,700,800,500,500,800,650,800,300,500,500,400,1200,700,600,650,500,400,600,617
"",,Wholesale,600,650,300,500,500,600,600,250,400,400,300,1000,600,500,550,450,300,400,494
Beef,Kg,Retail,5000,4500,5000,5000,5000,5000,4700,6500,,4750,5000,,5000,6000,4000,4100,5000,4000,490
"",,Wholesale,5000,4500,4500,4500,3800,4500,4200,6000,,4650,4800,,5000,5700,3500,4000,4500,3500,454
"Cassava, Dry Fermented",Kg,Retail,700,,5000,,,550,500,280,,,350,,700,600,,470,,,1017
"",,Wholesale,650,,4500,,,520,400,270,,,300,,650,500,,460,,,917
"Cassava, Flour",Kg,Retail,750,800,650,900,800,700,750,800,,1000,650,1200,700,500,900,700,1000,800,800
"",,Wholesale,700,700,400,800,600,650,600,700,,800,600,1000,680,400,720,680,800,600,672
"Cassava, Fresh",Kg,Retail,550,1000,700,450,500,600,650,300,,600,300,600,550,600,600,900,400,600,582
"",,Wholesale,500,650,500,400,430,550,500,270,,400,250,500,500,500,500,800,300,400,468
"Cassava, Sun dried",Kg,Retail,700,500,,,800,550,500,300,,700,350,500,700,500,,470,,700,559
"",,Wholesale,650,450,,,600,520,380,280,,500,300,500,650,400,,450,,500,475
Cavendish (Bogoya),Kg,Retail,700,1200,1000,650,800,1000,900,600,600,600,,1200,600,,900,1200,400,,823
"",,Wholesale,600,1000,700,600,600,900,800,570,500,500,,1000,550,,600,1000,300,,681
"Chicken, Exotic",bird,Retail,8000,7000,8000,7500,6000,8000,6500,6500,,6000,,6000,,8000,8000,5500,,6500,696
"",,Wholesale,,6000,7000,6500,5000,6000,5500,6000,,6000,,5000,,7000,,5000,,5500,587
"Chicken, Local",bird,Retail,11500,13500,10000,12000,,16000,13000,12000,8000,12000,,8500,12000,14000,11000,10000,13000,9000,1159
"",,Wholesale,10000,12000,8000,9500,9000,13000,60000,10000,6000,5500,,8000,11000,13000,8500,9000,10000,7000,1232
