Commodity Pricetype,,,,,,,,,,,,,,,,,,,,,,
Apple Bananas Retail,,Kg,1000,400,1000,900,500,1000,1100,1400,200,500,1000,550,600,1100,,1500,800,550,500,1000
Wholesale,,Kg,800,300,900,600,450,700,1000,1000,180,400,800,500,550,800,,,700,500,350,800
Beef Retail,,Kg,4500,5000,5000,5000,5000,5000,5000,5000,6000,5000,4500,6000,5000,5000 5000,,4000,4000,4200,4000,4000
Wholesale,,Kg,4000,4500,5000,4500,4500,3800,4500,4500,5000,4500,4200,5800,5000,4800 5000,,,3500,4000,3500,3800
"Cassava, Dry Fermented Retail",,Kg,,,,,,,620,500,280,,,600,700,1000 1200,,,,700,,1000
Wholesale,,Kg,,,,,,,600,400,270,,,500,680,800 1000,,,,650,,700
"Cassava, Flour Retail",,Kg,800,1200,1200,1000,1200,1100,850,1000,1200,1000,1000,1000,800,1200 1000,,1200,1300,900,1000,1350
Wholesale,,Kg,700,1000,1000,850,1100,850,730,800,1100,900,800,750,740,1100 Weig8h0t0,,800,1100,800,700,1220
"Cassava, Fresh Retail",,Kg,420,400,1000,1100,450,340,620,900,270,500,140,500,550,1000 800,,300,,1000,600,1000
Wholesale,,Kg,360,300,1000,800,350,270,600,700,260,450,130,400,500,800 700,,200,,700,450,800
"Cassava, Sun dried Retail",,Kg,,,500,,,1100,620,500,630,,850,600,700,1200 Kal1e0rw00e,,650,,750,500,1000
Wholesale,,Kg,,,400,,,850,600,400,580,,800,500,680,800 800,,600,,700,400,700
Cavendish (Bogoya) Retail,,Kg,1200,500,1400,1200,650,1000,1700,2800,700,600,2000,550,650,2500 2000,,1500,,800,600,1800
Wholesale,,Kg,1100,400,1200,900,600,800,1600,1800,670,500,1500,500,600,2200 Kib1o7g0a0,,,,750,350,1400
"Chicken, Exotic Retail",,bird,7500,,,9500,9000,6000,8000,5500,8000,,6500,8500,7000,10000 4500,,7500,10000,7500,8000,12000
Wholesale,,bird,7000,,,8000,8500,5000,6000,4800,7000,,5500,8000,,8500 4000,,7000,9000,6500,6000,10000
"",,,,,,,,,,,,,,,,Luwero,,,,,,
"Chicken, Local Retail",,bird,12000,15000,18000,12000,15000,,18000,11000,15000,10000,7500,9000,11000,14000 13000,14000,,15000,11000,10000,14000
Wholesale,,bird,10000,13000,15000,9000,14000,12000,15000,8500,14000,8000,6000,8500,10000,13000 10000,12000,,12000,10000,9000,12000
Coffee (Unprocessed) Retail,,Kg,,,1400,1000,,,,1920,1100,,,,,900 Masaka,,,,,900,
Wholesale,,Kg,,,1200,800,,,,1820,1000,,,,,800,,,,,800,
Cotton (Unprocessed) Retail,,Kg,,,,,,,,,800,,,,,,,,,,,
Wholesale,,Kg,,,,,,,,,700,,,,,Nakasero,,,,,,
Cow Peas Retail,,Kg,2000,1600,2000,2600,2500,1800,2700,1800,2500,1800,2600,2500,2000,1400 2000,,,,2200,2100,1400
Wholesale,,Kg,1800,1500,1800,2400,2000,1400,2400,1600,2400,1700,2300,1900,,1150 1500,,,,2100,2000,1200
"Dried Beans, Agwede Retail",,Kg,,,1500,1400,,1400,1000,1700,2000,,,1400,,Nak1a3w00a,,,,,,
Wholesale,,Kg,,,1400,1200,,1200,850,1500,1800,,,1300,,1200,,,,,,
"Dried Beans, Nambale Retail",,Kg,2400,,1700,2000,2000,2000,1800,1700,2400,1200,1250,1600,1600,1300 1300,,2000,1700,1400,2000,1700
Wholesale,,Kg,2200,,1600,1700,1800,1600,1650,1500,2300,1000,1100,1400,,1150 Ow1in2o00,,1750,1500,1300,1700,1500
"Dried Beans, Yellow Retail",,Kg,2400,1000,1700,1300,2000,2400,1700,1700,2500,,1500,1600,1600,1250 1500,,1800,1600,1500,2000,1000
Wholesale,,Kg,2200,900,1600,1100,1900,2000,1550,1600,2400,,1350,1500,1400,1000 1300,,1550,1400,1400,1750,800
"",,,,,,,,,,,,,,,,Iganga,,,,,,
"Eggs, Exotic Retail",,tray,5000,6500,6000,6500,6500,6000,5000,6400,6000,6000,5500,5900,7500,6000 6000,,6000,7500,6000,6000,6500
Wholesale,,tray,4500,6000,5500,4700,5800,5000,4500,5000,5500,5500,5300,2700,6000,5800 5700,,5000,6000,5800,5500,6000
"Eggs, Local Retail",,tray,10000,9000,6500,9000,15000,9000,11000,8800,8500,,7500,7200,7500,Jinj6a500,,9000,9000,9000,10000,8000
Wholesale,,tray,9000,7500,6000,7500,12500,7000,9000,6800,8000,,6000,7100,,6000,,7000,7500,8500,9000,7000
"Fish, Nile Perch Retail",,Kg,6000,,7000,5500,,7000,8000,5000,7000,,4800,4500,5000,4500 8000,,,6500,,4000,6000
Wholesale,,Kg,5500,,7000,4500,,6000,7000,4000,6000,,4500,4000,5000,3800 Kap7c0h0o0rwa,,,5000,,4000,5500
"Fish, Tilapia Retail",,whole,3500,6000,5000,5000,4500,4500,5500,6000,10000,,4000,6000,7000,5000 8000,,7500,8000,4000,4000,6500
Wholesale,,whole,3000,4000,4000,4000,4000,4000,4500,4800,9000,,3500,5000,,4500 7000,,,7000,3800,3000,6000
"",,,,,,,,,,,,,,,,Mbale,,,,,,
Goat Meat Retail,,Kg,6000,6000,6000,5500,6000,6000,6000,6000,6000,5000,5000,5000,5500,6000 6000,,5000,5000,6000,4500,6000
Wholesale,,Kg,5000,5000,6000,4500,5700,4800,4500,5000,5000,4500,4800,4800,5500,5800 5500,,,4800,5800,3600,5500
"Groundnuts, Unpounded Retail",,Kg,3000,2400,3000,2200,3000,2900,2600,2400,2600,2200,2500,2200,3000,2500 Sor3o0ti00,,3000,2800,,2600,2800
Wholesale,,Kg,2800,2200,2800,2100,2500,2500,2300,2200,2500,2100,2350,2000,,2300 2500,,2000,2700,2400,2400,2600
"Honey, Processed Retail",,ltr,7500,7000,3500,6500,8000,8000,,8000,4000,,12000,6400,4500,,,,6000,,10000,6000
Wholesale,,ltr,7000,6000,3500,4500,7500,7000,,7000,3000,,10000,6200,,Arua,,,5500,,8000,5000
"Honey, Unprocessed Retail",,ltr,,3500,2500,,5000,6500,,5000,2500,,,6400,,,,,4500,,7500,
Wholesale,,ltr,,3100,2200,,4500,6000,,4000,2000,,,6200,,,,,4000,,6500,
"",,,,,,,,,,,,,,,,Gulu,,,,,,
Commodity Pricetype,,,,,,,,,,,,,,,,,,,,,,
Irish Potatoes Retail,Kg,660,500,1200,1500,1000,800,600,700,800,300,500,600,1000,1500,1200 800,,,458,,1000,
Wholesale,Kg,580,458,1000,1200,900,700,570,600,700,250,480,550,,1400,1000 700,,,450,600,800,
Maize Flour Retail,Kg,1500,1300,1500,1400,1700,1500,1300,1300,1400,1200,1000,1400,1600,1250,1600 1300,,,1600,1400,1600,1600
Wholesale,Kg,1400,1100,1200,1200,1500,1300,1150,1100,1300,1000,800,1200,1400,1100,1200 1200,,,1400,1300,1300,1400
Maize Grain Retail,Kg,1100,800,1000,1000,1000,1200,610,650,600,600,550,650,600,700,700 580,,,1400,1000,590,1200
Wholesale,Kg,1000,700,800,700,800,1000,590,580,580,500,530,550,550,600,600 550,,,1200,900,480,1100
Matooke Retail,Kg,450,300,1000,250,450,550,400,420,240,400,,500,400,2500,1200 800,,,,800,800,800
Wholesale,Kg,400,250,1000,200,400,500,370,360,200,300,,450,350,2000,1000,,,,750,600,700
Matooke (Bunch) Retail,Bunch,14000,12000,19000,10000,17000,14000,18000,13500,12000,10000,15000,10000,12000,14000,Weight 12000,,,17000,14000,10000,9000
Wholesale,Bunch,12000,10000,18000,8000,13000,12000,15000,10500,10000,8000,13500,8000,10000,13000,,,,14000,13500,7000,7500
Milk Retail,Ltrs,1000,1000,750,1000,1000,1200,1000,1000,800,550,900,800,1000,1400,700 800,,,600,800,900,900
Wholesale,Ltrs,800,900,700,800,900,1000,900,900,700,400,800,700,1000,800,Ka6l0e0rwe 600,,,500,750,650,800
Millet Flour Retail,Kg,1200,1500,1300,1500,2000,1200,2000,1600,1600,1800,1800,1500,2000,1400,2500,,,2000,1400,1600,1750
Wholesale,Kg,900,1400,1200,1300,1800,1000,1700,1300,1500,1700,1600,1400,1800,1300,,,,1800,1350,1400,1500
KibogaMillet Grain Retail,Kg,1200,1500,1000,1600,1700,2000,1200,1200,1100,1300,1200,1000,1600,1100,1100,,,1700,1100,1250,1500
Wholesale,Kg,900,1400,800,1400,1600,1600,1150,1100,1000,1200,1100,950,1500,1000,1000,,,1600,1000,950,1300
Pineapple Retail,whole,1000,800,1600,800,3000,3000,1500,2000,2500,1100,3000,1400,,3500,Luwero,,,600,,2000,800
Wholesale,whole,800,500,1500,600,2500,2500,1000,1500,2200,1000,2500,1100,,3000,,,,500,,1300,500
Pork Retail,Kg,4700,5000,5000,4000,,5000,5000,,5000,4000,4000,4000,5000,5000,4000,,,6000,,4000,
Wholesale,Kg,4000,4500,4500,3500,,3500,4000,,4500,3600,3500,3800,5000,4800,M35a0s0aka,,,5000,,3000,
Rice (Kayiso) Retail,Kg,2000,2800,2500,2400,,2000,2200,1800,2400,2200,1700,2200,,2500,2200,,,,,2500,2500
Wholesale,Kg,1800,2500,2400,2000,,1800,2000,1680,2200,2100,1600,2000,,2450,2100,,,,,2400,2400
Rice (Super) Retail,Kg,2500,2300,2500,2300,2400,2500,2400,2300,2500,2400,2400,2200,2400,2800,N24a0k0asero2500,,,2500,2500,2600,2550
Wholesale,Kg,2200,2200,2400,1800,2300,2200,2200,2100,2300,2300,2200,2000,2000,2600,2200,,,2350,2400,2400,2500
Rice (Upland) Retail,Kg,2000,2000,2200,2300,2500,2000,2100,2300,2300,2000,,,2200,2500,2200 2200,,,2400,1700,2300,
Wholesale,Kg,1800,1800,2000,1800,2300,1800,1900,1750,2000,1800,,,2000,2400,N21a0k0awa 2000,,,2200,1600,2100,
Simsim Retail,Kg,3000,,2700,3300,4500,3000,3000,2500,2800,2500,3000,2500,2600,2700,3000,,,,2000,3000,3800
Wholesale,Kg,2800,,2500,2900,4000,2500,2350,2300,2700,2400,2500,2200,,2650,2500,,,,1800,2500,3500
"",,,,,,,,,,,,,,,,Owino,,,,,,
Sorghum Flour Retail,Kg,1000,900,1400,,1800,1200,1000,960,,1000,800,1000,1500,1300,,,,900,1400,,1100
Wholesale,Kg,700,800,1200,,1500,900,850,820,,900,700,750,1400,1000,,,,800,1300,,1000
Sorghum Grain Retail,Kg,700,800,800,,1600,1000,700,700,1200,,520,600,900,850,Iganga,,,,1100,800,750
Wholesale,Kg,500,700,800,,1400,700,650,540,1000,,500,550,800,850,,,,,1000,600,400
Soya Beans Retail,Kg,2000,1400,1800,1400,1600,1400,1100,1400,1800,1800,1000,,,1500,1200 2000,,,,,1600,1400
Wholesale,Kg,1800,1200,1500,1300,1500,1200,850,1150,1700,1700,800,,,1400,J1i0n0ja0,,,,,1300,1200
Sunflower Retail,Kg,,,,,,,400,,,,,450,,,,,,,,,
Wholesale,Kg,,,,,,,370,,,,,400,,,,,,,,,
Sweet Potatoes Retail,Kg,500,200,1000,1000,400,550,600,1000,360,400,150,500,400,1500,Ka7p0c0horw400,,,800,1000,600,900
Wholesale,Kg,410,150,1000,600,350,450,570,800,340,300,140,450,350,1450,500 300,,,600,900,450,700
Turkey Retail,bird,,,35000,,40000,42000,45000,34000,50000,,,36000,,,Mbale,,,,,29000,32000
Wholesale,bird,,,30000,,35000,35000,35000,32000,48000,,,34500,,,,,,,,26000,30000
Vanilla (Unprocessed) Retail,Kg,,,,,,,2700,,,,,,,,,,,,,3500,3000
Wholesale,Kg,,,,,,,2300,,,,,,,,Soroti,,,,,3000,2000
