Commodity,Units,Values,Average Arua,Busia,Fort PortGulu,Hoima,Iganga,Kabale,Kalerwe Kasese,Kiboga,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Agwedde Beans,Kg,R.P,1455,1400,,1400,1440,1300,1400 2500,1400,1100,,1275 1300,1600 1400 1400,1400
"",,W.P,1280,1200,,1200,1240,1200,1200 2500,1200,900,,1100 1100,1400 1200 1200,1200
Apple Bananas,Kg,R.P,1554 1350,1933,1100 2750,1825,1450,1067,1600 1750,1050,2250,1400,1350 1283,1200 1500 1375 1325,1467
"",,W.P,1201 1000,1600,850 2000,1250,1117,767,1200 1500,733,2000,1100,950 900,900 1200 1050 1075,1150
Beef,Kg,R.P,6261 6750,6667,5300 6000,6250,5917,6500,7000 7000,6417,6500,5300,6000 6417,6000 5800 7000 6375,5917
"",,W.P,5576 6550,6333,5200 4900,5300,5217,6083,5650 6500,5175,6250,4950,5000 5717,4800 5100 5950 5500,5367
Cassava Flour,Kg,R.P,982 925,983,800 1800,975,817,1400,900 900,1017,850,1050,750 883,800 1050 1000 925,867
"",,W.P,729 763,675,650 1500,625,542,1200,600 725,767,650,875,475 688,450 750 625 700,633
Cavendish (Bogoya),Kg,R.P,2035 1550,2083,1717 2168,1425,2450,3000,3000 3750,1167,3250,2225,1600 1783,1200 600 1400 1700,1733
"",,W.P,1612 1125,1683,1425 1584,950,1933,2500,1900 3000,917,3000,1800,1250 1383,1000 550 1100 1450,1383
Coffee (Arabica),Kg,R.P,9622,,,,,,,2000,,,10500 8367,10000,
"",,W.P,8417,,,,,,,1700,,,7150 8100,10000,
Cow Peas,Kg,R.P,2568 2475,2333,1742 2200,2867,2333,3333,2750 3450,2700,3750,2550,2500 2750,2000 2225 1950 2675,2333
"",,W.P,2272 2700,2100,1508 1700,2433,2117,2967,2300 3150,2333,3600,1900,2250 2383,1800 1925 1688 2350,2033
Dry Fermented Cassava,Kg,R.P,630 750,,260,,380,,250,,,1100,650,260 1200 800,650
"",,W.P,535 700,,230,,360,,230,,,900,600,230 800 700,600
Exotic Chicken,bird,R.P,9373 9500,10000,8667 13000,8625,8417,9167,9500 7500,8083,10750,13500,8250 8583,9000 8000 8000 7750,10500
"",,W.P,7757 4500,8083,7500 8500,7325,7500,8250,7500 6750,6917,9500,12000,7000 7667,7000 7250 7000 6625,9667
Exotic Eggs,tray,R.P,7414 8250,8700,6700 8250,7375,7283,6833,8500 6733,7417,6750,7500,6750 7250,7500 7200 8250 6625,7000
"",,W.P,6224 7000,6383,6017 7500,6350,6167,6250,6900 5667,6350,6000,5200,5550 6500,5800 6150 6275 5825,6500
Fresh Cassava,Kg,R.P,753 725,950,983 1005,1213,788,1083,410 750,1033,415,1150,450 365,400 850 713 825,483
"",,W.P,546 525,642,725 685,813,550,867,275 550,325,300,990,300 288,300 525 463 650,375
Goat Meat,Kg,R.P,7459 7750,7583,5933 6500,8125,7417,7667,8000 8500,7167,8000,6250,7500 7333,8000 6500 8250 7875,7083
"",,W.P,6457 5700,7000,5633 5500,6950,6300,7167,6500 7750,5600,7500,5600,6000 6717,6000 5900 7025 6625,6350
Groundnuts,Kg,R.P,3043 4125,3133,2833 2250,2800,3067,3350,2900 3250,2850,3000,3100,3000 3000,3000 3250 2900 2950,2867
"",,W.P,2556 2500,2667,2600 2100,2415,2617,3033,2400 2950,2517,2500,2800,2500 2467,2500 2650 2400 2388,2517
Irish Potatoes,Kg,R.P,992 1225,592,1000 950,1625,820,767,773 2167,900,1250,1550,750 633,600 850 700 775,833
"",,W.P,709 500,438,700 833,1200,600,495,450 1500,550,950,1375,450 475,500 600 550 590,552
Kayiso Rice,Kg,R.P,2206 1600,2267,1986 2900,2150,2033,2320,2300 2600,2483,2300,2200,2100 2217,1700 2300 2300,2233
"",,W.P,1936 1200,1983,1864 2500,1925,1733,1980,2050 2167,2183,2000,1950,1800 2000,1650 2100 2050,1967
Local Chicken,bird,R.P,16970 20250,20250,15000 21000,19333,19500,14750,20000 16000,12800,16500,18500,15000 14000,13000 15000 16000,14400
"",,W.P,13696 20000,15500,13250 16000,14875,13500,11867,13000 13500,10083,15250,15250,12750 11417,12500 10250 12250 12625,12750
Local Eggs,tray,R.P,12233 12750,14000,8250 10500,11375,11767,15000,14000 12250,13000,12750,9050,15000 11750,12000 10500 12000 13250,14000
"",,W.P,9260 10000,8833,7183 7500,8500,8400,11000,10000 9500,9167,9500,7900,11000 9050,8000 10150 9000 10000,11167
Maize Flour,Kg,R.P,1390 1675,1417,1533 1400,1475,1283,1500,1600 1400,1483,1150,1725,950 1150,1200 1500 1500 1225,1333
"",,W.P,1109 1300,1058,1333 1225,1235,992,1233,1175 1100,1225,910,1350,675 911,950 1300 1163 988,1067
Maize Grain,Kg,R.P,764 875,783,1092 520,500,683,600,700 650,683,560,1225,600 662,730 1325 850 725,667
"",,W.P,592 650,579,942 450,395,533,400,500 550,517,450,1025,450 588,635 775 705 520,508
Matooke,bunch,R.P,18539 16667,28000,12833 21000,21000,22000,21333,15000 10000,14100,19000,19000,24000 16667,18000 15500 17500,17667
"",,W.P,15132 14667,24000,11000 16500,16750,20000,16000,12000 8000,11000,17000,15000,15000 14667,13000 13500 14500,15667
Matooke (kg),Kg,R.P,968 575,1080,1086 2000,1273,680,600,820 1500,673,725,2000,568 808,635 900 665 493,1023
"",,W.P,754 375,874,936 1000,900,538,367,573 1300,492,575,2000,423 738,545 650 555 385,833
Milk,Litre,R.P,1060 1050,1233,800 1150,1000,1100,933,1200 1400,1000,1000,700,1000 1100,1000 900 900 1150,1467
"",,W.P,884 950,883,633 925,813,950,783,1000 1200,733,900,575,850 933,900 680 760 900,1283
Millet Flour,Kg,R.P,2019 2300,2000,2442 1900,2500,1900,1967,2100 1700,1850,1900,1600,2000 2000,2000 1925 2250 1950,1900
"",,W.P,1720 2050,1667,2142 1550,1950,1567,1767,1800 1550,1617,1700,1400,1700 1733,1600 1625 1800 1700,1667
Millet Grain,Kg,R.P,1289 1600,1317,1150 1300,1375,1250,1640,1500 1225,1417,1245,1200,1400 1250,1200 800 1200 1313,1233
"",,W.P,1101 1425,1028,958 1000,1100,1083,1480,1300 1100,1267,1125,950,1200 1067,1000 750 1000 1150,1108
Nambale Beans,Kg,R.P,1944 1700,1933,2200 1800,1825,1750,1933,1850 2000,1767,1600,2800,1800 1717,1600 3000 1800 1725,1967
"",,W.P,1638 1600,1487,1800 1600,1563,1450,1733,1600 1800,1542,1475,2500,1550 1517,1200 2000 1425 1500,1683
Nile Perch,Kg,R.P,7798 7000,7667,3000 7250,6875,8000,9667,10000 7000,7333,6250,11400,7500 7833,8000 7500 8500 9750,7167
"",,W.P,6604 6250,6333,2800 5750,5625,6883,8333,8000 6500,6000,5750,9750,6500 6333,7000 5400 7000 8250,6417
Commodity,Units,Values,Average Arua,Busia,Fort PortGulu,Hoima,Iganga,Kabale,Kalerwe Kasese,Kiboga,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Orange Fleshed Sweet Potatoes,Kg,R.P,4785 5000,42000,2000,3000,450,3250,,5000,650,,450 438,450 1000 800 2500,5000
"",,W.P,1492,4000,,,1500,2300,350,2750,,,4000,550,,350,350,350,500,400,2000,4000
Pineapple,whole,R.P,1860,1833,1833,1500,4000,1375,1433,1667,2000,1250,1667,3250,2000,1250,1917,1000,2500,1375,1375,1917
"",,W.P,1361,850,1400,1000,3000,925,1017,1167,1400,950,1217,3000,1800,900,1417,700,1500,975,925,1567
Pork,Kg,R.P,6176,6750,6333,6333,7000,6125,5375,6833,6000,6000,6083,5500,7000,5500,5750,6000,,6500,6000,6000
"",,W.P,5231,6625,5667,5500,6000,4975,4000,6583,4750,5750,4933,5000,6500,4250,4583,3800,,4750,4750,5450
Processed Honey,Kg,R.P,8888,6000,9200,18000,,11333,8200,11333,8000,5000,9500,,,8250,8000,8000,8000,8000,8000,8000
"",,W.P,7688,5000,8200,16000,,9000,7280,9667,7000,4500,7750,,,7000,7000,7000,6000,7000,7000,7675
Simsim,Kg,R.P,3450,3500,3300,3217,2700,3275,3733,3667,3500,3500,3117,3250,3150,3500,3500,3500,5150,3150,3375,3133
"",,W.P,2824,2625,2633,2592,2400,2638,3267,3167,3000,3000,2600,2850,3050,2750,3000,3000,2825,2650,2775,2617
Sorghum Flour,Kg,R.P,1341,1575,1267,1100,1250,2200,1200,1583,1300,1900,1533,1600,700,1400,1200,1000,700,1250,1400,1517
"",,W.P,1032,1300,933,800,1050,1575,883,1250,1050,1700,1167,1200,600,950,933,500,600,950,1125,1183
