CommodityName,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Kabale,Kasese,Kisoro,Mbarara,Avg
Maize Grain,Kg,Retail,1100,800,1000,1000,1400,660,620,650,600,650,600,650,630,700,1500,700,600,1100,83
"",,Wholesale,1000,700,800,700,1200,650,570,630,500,550,550,550,580,650,1400,650,500,1000,73
Matooke,Kg,Retail,470,200,,450,800,400,420,220,500,1000,500,350,,1200,,900,800,1000,61
"",,Wholesale,410,175,,375,700,370,400,200,400,800,450,300,,1000,,750,600,800,51
Matooke (Bunch),Bunch,Retail,13000,8000,10000,18000,17000,18000,15000,11000,10000,12000,12000,11000,16000,,20000,18000,12000,7500,1344
"",,Wholesale,10000,7000,9000,16000,14000,16000,13600,10000,8000,10000,10000,9000,14500,,15000,17000,9000,7000,1147
Milk,Ltrs,Retail,1000,1000,800,800,800,,1000,800,550,440,800,1000,1000,1000,500,800,1000,600,81
"",,Wholesale,800,900,750,600,700,,900,700,400,370,700,1000,800,800,450,750,700,500,69
Millet Flour,Kg,Retail,1200,1600,1200,1500,2500,2000,1500,1600,1800,1800,1500,2000,1600,,2000,1500,1600,2200,171
"",,Wholesale,900,1500,1000,1300,2000,1700,1250,1500,1700,1600,1300,1800,1400,,1800,1400,1400,2000,150
Millet Grain,Kg,Retail,1200,1500,1000,1600,2200,1200,1900,650,1800,1400,1100,1600,1000,,1500,1100,1250,2000,141
"",,Wholesale,900,1400,1000,1400,1800,1150,1400,630,1200,1200,1000,1500,800,,1400,1000,950,1800,120
Pineapple,whole,Retail,1000,800,1800,800,1500,1500,1900,2500,,2000,1800,2600,2600,,1000,1500,2300,700,164
"",,Wholesale,800,500,1500,600,1200,1200,1400,2300,,1500,1500,,2400,,700,1400,1300,500,125
Pork,Kg,Retail,5000,5000,4500,,,,,6000,4000,,4000,5000,5000,5000,6000,,4000,,486
"",,Wholesale,4500,4500,4500,,,,,5500,3600,,3800,5000,4500,4500,5000,,3300,,442
