"",,,,,,Central,,,,,Eastern,,,,Northern,,,Western,
Commodity,Weight,Pricetype,Kalerwe,Kiboga,Luwero,Masaka,Nakasero,Nakawa Owino,Iganga,Jinja,Kapchorwa,Mbale,Soroti,Arua,Gulu,Lira,Hoima,Kabale Kasese,Kisoro
Apple Bananas,Kg,Retail,1000,500,700,1000,1200,1000 1300,1200,250,600,1000,550,600,1500,,1500,900 650,600
"",,Wholesale,800,400,600,700,1100,700 1200,800,220,500,700,500,500,1300,,,800 550,400
Beef,Kg,Retail,5000,5000,4500,5000,5000,5000 5000,5000,6000,5000,4300,4000,5000,5000,5000,4000,4000 4200,4000
"",,Wholesale,4500,4500,4500,4500,4500,3800 4500,4500,5000,4500,4300,3800,5000,4800,5000,,3500 4000,3500
"Cassava, Dry Fermented",Kg,Retail,,,,,,650,500,280,,,550,850,1400,1200,,700,
"",,Wholesale,,,,,,620,400,270,,,500,800,1200,1000,,650,
"Cassava, Flour",Kg,Retail,900,1200,1300,1100,1300,1000 900,1000,1100,1000,900,1000,850,2000,1000,1200,1200 900,1000
"",,Wholesale,700,1000,1000,800,1200,850 800,,1000,900,750,700,800,1800,900,900,1000 800,700
"Cassava, Fresh",Kg,Retail,,400,1000,1100,550,450 620,1000,240,500,170,450,550,1200,1000,350,1800 1200,600
"",,Wholesale,,300,1000,800,500,375 570,850,220,400,150,400,450,1000,800,250,1500 1000,450
"Cassava, Sun dried",Kg,Retail,,,600,,,1000 650,500,740,,700,550,850,1400,1000,700,750,500
"",,Wholesale,,,500,,,850 620,400,700,,600,500,800,1200,800,600,700,400
Cavendish (Bogoya),Kg,Retail,1200,600,1600,900,1200,1000 1700,2200,780,1000,1500,550,600,,2000,1500,2500 1200,500
"",,Wholesale,1000,500,1500,700,1000,800 1600,1500,750,800,1000,500,550,,1800,,2300 1100,350
"Chicken, Exotic",bird,Retail,7500,,10000,10000,9000,6000 8000,6000,8000,,7000,8500,,,5000,7000,9000 8000,8000
"",,Wholesale,6500,,9000,8500,8000,5000 6000,5000,7000,,5000,7500,,,4500,500,7000 7500,6000
"Chicken, Local",bird,Retail,10000,16000,18000,18000,15000,18000,14000,14000,10000,6500,9000,12000,14000,7000,12000,12000 18000,10000
"",,Wholesale,8500,14000,15000,15000,12000,12000 15000,12000,12000,8000,5000,8500,10000,13000,7000,9000,9000 17500,9000
Coffee (Unprocessed),Kg,Retail,,2100,1400,1000,,,1910,1100,3500,3200,,,,,,3100,950
"",,Wholesale,,1700,1200,800,,,1790,1000,3300,3100,,,,,,2900,800
Cotton (Unprocessed),Kg,Retail,,,,,,,,800,,,,,,,,,
