"",Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,,,
Commodity,,,Kalerwe,Luwero,Masaka,Nakasero,Nakawa,Owino,Iganga,Jinja,Kapch',Mbale,Soroti,Arua,Lira,Hoima,Kabale,Kasese,Kisoro,Mbra,Min,Max,Avg
"",,Wholesale,900,700,1200,,850,900,900,800,1000,1000,800,900,500,700,950,1200,1000,1000,500,1200,900
Pineapple,whole,Retail,1150,1100,1000,2250,850,1000,2500,2000,1200,1500,1500,2000,2250,1600,500,1000,800,1000,500,2500,1400
"",,Wholesale,900,850,700,1900,600,700,1800,1700,1000,1000,1350,1700,1750,800,350,800,500,500,350,1900,1050
Pork,Kg,Retail,5000,4000,4000,,5000,5000,,5000,,4000,4000,5000,,5000,5250,5200,5000,7500,4000,7500,4925
"",,Wholesale,4500,3800,3500,,3500,4200,,4500,,4000,3800,5000,,,3800,5000,4500,7000,3500,7000,4392
Rice (Kayiso),Kg,Retail,1700,1800,2400,2000,1800,3300,1700,1700,1800,1650,1700,2000,2000,,2500,,2800,2500,1650,3300,2084
"",,Wholesale,1600,1600,2000,1800,1600,1625,1500,1600,1600,1450,1600,1800,1900,,,,2500,2250,1450,2500,1762
Rice (Super),Kg,Retail,2000,2500,1800,2200,2400,2350,2000,2300,2000,2200,1900,2200,2100,2200,2200,2200,1933,2200,1800,2500,2149
"",,Wholesale,1900,1950,1600,2000,1750,1850,1800,2000,1800,1800,1750,1900,2000,,2000,2100,1767,1800,1600,2100,1869
Rice (Upland),Kg,Retail,1600,1700,2000,2200,1800,1700,1800,1700,,,,2000,2000,1600,2000,1520,1867,2000,1520,2200,1832
"",,Wholesale,1500,1650,1800,2000,1600,1500,1600,1600,,,,2000,1800,1515,1850,1500,1733,1700,1500,2000,1690
Simsim,Kg,Retail,2800,3000,,,2800,2500,2100,2000,,2750,2300,2000,1800,1700,4000,,,2550,1700,4000,2485
"",,Wholesale,2600,2500,,,2400,1850,1800,1750,,2250,2200,1500,1800,1500,3200,,,2500,1500,3200,2142
Sorghum Flour,Kg,Retail,1000,1550,,2000,1000,1000,1000,800,700,1000,650,1750,500,2000,,,800,1550,500,2000,1153
"",,Wholesale,700,1350,,1800,700,800,850,700,500,800,575,1550,400,,,,700,1500,400,1800,923
Sorghum Grain,Kg,Retail,700,1450,,1675,800,550,750,700,,800,550,1250,450,500,,1100,800,1200,450,1675,885
"",,Wholesale,500,1250,,1400,500,520,650,600,,500,450,1100,400,475,,1000,700,1000,400,1400,736
Soya Beans,Kg,Retail,2000,1600,1400,1600,1500,1100,1250,1900,1500,1300,1400,1450,,2000,1300,,1000,2500,1000,2500,1550
"",,Wholesale,1767,1400,1300,1400,550,900,1050,1700,1350,1000,1250,1150,,1500,900,,700,2400,550,2400,1270
Sunflower,Kg,Retail,,,,,,400,1000,,,,400,,600,,,,,,400,1000,600
"",,Wholesale,,,,,,370,800,,,,350,,500,,,,,,350,800,505
Sweet Potatoes,Kg,Retail,500,900,700,400,350,500,700,300,300,550,250,425,,500,250,900,150,,150,900,480
"",,Wholesale,400,550,500,350,300,450,550,270,200,350,200,375,,260,150,800,100,,100,800,363
Tea (Unprocessed),Kg,Retail,,,,,,400,,,,,,,,,,,,,400,400,400
"",,Wholesale,,,,,,350,,,,,,,,,,,,,350,350,350
Turkey,bird,Retail,,,,22000,35000,34500,25000,29000,,25000,29000,,32000,,,,,20900,20900,35000,28044
"",,Wholesale,,,,20000,30000,29000,23000,27000,,20000,27000,,30000,,,,,,20000,30000,25750
Vanilla (Unprocessed),Kg,Retail,,,,,,2700,,,,,,,,,,,,3200,2700,3200,2950
