Commodity,Units,Values,Average Arua,Busia,Fort PortGulu,Hoima,Iganga,Jinja,Kabale,Kalerwe Kiboga,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Agwedde Beans,Kg,R.P,1761,,2000,2000,1600,1967,1425,2000,,1100,2325,1333,2100 2000 1520,
"",,W.P,1501,,1400,1600,1400,1867,1250,1600,,900,2050,1200,2000 1600 1240,
Apple Bananas,Kg,R.P,1435 1200,1542,1070 3100,1560,1400,723,800,2000 800,550,2717,1040,1360 1250,1383 1493 1261 1467,1342
"",,W.P,1129 1000,1292,850 2438,1170,1092,540,590,1500 643,450,2400,918,980 900,1100 1086 969 1100,1067
Beef,Kg,R.P,6253 7000,5867,5720 5900,6375,6100,7917,6350,8000 5857,5500,6833,5250,5720 5250,5400 6657 6786 6500,5683
"",,W.P,5654 7000,5650,5680 4960,5375,5567,7217,5867,6500 4893,4850,6367,4800,4940 4800,5225 5829 5800 5667,5333
Cassava Flour,Kg,R.P,1020 850,1008,890 1130,1038,983,672,1500,1500 1043,1100,808,933,760 900,1175 1200 971 1033,933
"",,W.P,816 700,833,700 842,795,750,567,1110,1333 829,950,635,850,560 733,975 857 714 850,742
Cavendish (Bogoya),Kg,R.P,2016 1500,1658,1510 2270,1350,2550,1542,2350,5000 929,650,2917,1427,1520 2167,2613 1971 1457 2100,1750
"",,W.P,1539 1000,1367,1270 1550,875,2000,1258,1967,3000 771,550,2480,1293,1030 1667,2175 1429 1171 1733,1417
Coffee (Arabica),Kg,R.P,7833,,,,,,,2000,4500,,,11000 8000,,
"",,W.P,6339,,,,,,,1700,4000,,,7367 7650,,
Coffee (Robusta),Kg,R.P,2000,,,,,2000,,,,,,,,
"",,W.P,1800,,,,,1800,,,,,,,,
Cow Peas,Kg,R.P,2716 2500,1433,1960 1600,3125,2833,3100,2667,3500 2371,2050,3700,2333,2530 3500,3000 3143 2471 3567,2600
"",,W.P,2383,1167,1750 1360,2500,2467,2800,2233,3200 2029,1900,3517,2033,2200 3067,2625 2671 2057 3133,2208
Dry Fermented Cassava,Kg,R.P,569 850,270,383 930,453,400,315,,600,,400,425,280,800 1013 800,650
"",,W.P,486 700,250,353 692,373,370,303,,550,,370,390,240,750 708 700,600
Exotic Chicken,bird,R.P,9319 12000,10900,10375 11000,8750,7250,9667,10500,12000 8900,,9750,8500,7800 7167,9125 7571 8143 6833,10417
"",,W.P,7613,8600,8700 7800,6875,6500,8167,9167,9000 7300,,8667,7500,6300 6333,7500 6286 6857 5833,9333
Exotic Eggs,tray,R.P,7482 9000,8467,7280 9500,7375,7200,7250,7667,9500 7429,6750,6717,6200,6160 6667,6813 7929 7929 6667,7083
"",,W.P,6336 7500,6233,6400 7000,6250,6067,6200,6583,8000 6243,6200,5833,5533,5460 6100,6300 6271 6214 5833,6400
Fresh Cassava,Kg,R.P,891 700,1070,1020 3180,1175,883,375,1125,500 550,500,405,917,840 388,950 786 843 733,533
"",,W.P,576 550,850,790 756,918,617,288,875,300 442,400,322,800,540 283,625 493 570 533,425
Goat Meat,Kg,R.P,7243 8000,6167,6600 6500,8000,7167,8500,7167,7333 6643,6500,7833,6333,6900 7667,7000 7714 7786 8333,6114
"",,W.P,6505 8000,5950,6540 5660,6525,6467,7500,6633,6000 5400,5400,7333,5533,5960 7000,6750 6786 6729 7167,5657
Groundnuts,Kg,R.P,3131 4500,2583,3000 2520,3075,3060,3100,3517,3500 2914,2550,2817,2867,2900 3125,3075 3771 3329 3333,2867
"",,W.P,2620,2308,2820 2260,2543,2640,2758,3100,2500 2621,2375,2408,2533,2530 2625,2625 3043 2750 2800,2533
Irish Potatoes,Kg,R.P,1000 1500,442,1020 1114,1580,961,1042,725,1000 929,421,1242,1000,1140 867,1200 1000 797 1083,867
"",,W.P,684,392,780 894,1293,648,695,592,500 674,385,967,900,620 550,725 617 619 600,542
Kayiso Rice,Kg,R.P,2494,2233,2380 2480,2550,2350,2400,2580,3333 2683,2700,2492,2333,2020 2233,2775 2483 2457 2633,2467
"",,W.P,2202,1908,2220 2260,2250,1967,2133,2360,2733 2433,2350,2225,2117,1750 1867,2575 2183 2207 2333,2200
Local Chicken,bird,R.P,16053 20000,17400,13900 16700,20000,16200,18400,16000,20000 11250,14500,16833,15500,13900 12333,14500 15167 16000 13333,14333
"",,W.P,12924 18000,15100,11800 12600,15000,12250,15200,13167,15000 9214,12750,14083,11667,11000 9333,12000 11143 12714 10333,12417
Local Eggs,tray,R.P,12286 12000,12000,9500 9500,10000,12017,12500,13667,16000 11571,9750,11167,10000,12060 14000,13125 13929 14143 14333,13750
"",,W.P,9536 9000,8417,8100 7850,8500,9067,9667,11250,12000 8750,8250,8583,8533,8800 10167,10750 11429 9071 10333,11417
Maize Flour,Kg,R.P,1537 1000,1442,1630 1580,1738,1533,1443,1917,1800 1614,1600,1317,1400,1410 1200,1675 1714 1679 1533,1583
"",,W.P,1271 900,1067,1430 1280,1525,1200,1250,1667,1400 1357,1400,1075,1300,1040 935,1400 1386 1361 1233,1300
Maize Grain,Kg,R.P,802 510,825,1100 704,625,825,695,775,800 721,675,688,893,682 653,1020 1100 985 900,783
"",,W.P,649 470,629,940 610,538,625,618,650,500 579,600,595,837,492 548,888 740 783 630,633
Matooke,bunch,R.P,16920 18000,29000,15000 21000,18000,20000,19167,21667,14000 13333,375,18333,11000,17667 19000,16000 20000 15333 16000,11933
"",,W.P,13669 15000,26333,12667 14167,14250,18000,13000,16333,12000 10333,300,16333,9900,10000 17000,13000 14333 13333 13000,10767
Matooke (kg),Kg,R.P,1454 300,1067,1230 1244,995,750,570,830,1000 629,7600,794,840,670 833,1475 2143 681 733,3867
"",,W.P,1073 250,850,970 986,713,533,400,600,600 486,6075,666,710,465 633,1100 593 564 483,3192
Milk,Litre,R.P,1154 1000,1017,880 1220,950,1100,1067,900,1200 971,700,1100,3200,1000 1200,800 1086 1143 1067,1300
"",,W.P,853,692,740 990,800,900,917,717,1000 739,563,967,750,830 1000,725 840 897 867,1150
Millet Flour,Kg,R.P,1948 2000,1467,2260 1820,2375,1817,1683,1883,2200 1757,1650,1733,1850,2000 2000,2150 2143 2171 2000,1817
"",,W.P,1653 1600,1300,2010 1450,1600,1533,1517,1567,1800 1436,1575,1508,1600,1780 1800,1900 1771 1700 1800,1600
Millet Grain,Kg,R.P,1366 1500,1333,1180 1170,1363,1400,1325,1200,1700 1300,1400,1238,1233,1255 1517,1650 1500 1150 1533,1300
"",,W.P,1180 1300,1022,1000 1000,1125,1233,1192,950,1500 1186,1250,1127,1133,1122 1333,1425 1275 975 1300,1158
Nambale Beans,Kg,R.P,2006 1600,2000,2200 1833,2000,1960,2000,2300,2000 1900,,1580,2350,2150 1833,1933 2483 2100 1833,1960
"",,W.P,1741,1330,1800 1500,1700,1720,1790,1925,1800 1670,,1340,2200,1950 1667,1767 1967 1750 1650,1740
Commodity,Units,Values,Average Arua,Busia,Fort PortGulu,Hoima,Iganga,Jinja,Kabale,Kalerwe Kiboga,Kisoro,Lira,Luwero,Masaka Mbale,Mbarara NakaseroNakawa Owino,Soroti
Nile Perch,Kg,R.P,9343 6500,2950,5500 19700,7375,7300,7500,9160,12000 7786,,6250,25500,8480 7500,9200 8971 8286 9000,7000
"",,W.P,7820,,2650,5150,15260,5700,6333,6417,7580,9000,6357,,5750,20333,5740,6000,8375,7314,7043,8000,6300
Orange Fleshed Sweet Potatoes,Kg,R.P,2775,,1500,,2000,1750,5000,5000,3100,,,375,1663,2000,3800,5000,1500,2600,963,3150,5000
"",,W.P,2187,,1200,,1500,1200,4000,4000,2733,,,333,1363,1800,2900,4000,1000,1900,563,2500,4000
Pineapple,whole,R.P,2084,3200,2700,1200,3167,1667,1960,2140,1250,3000,1920,700,3600,2500,1325,1833,2000,2000,1583,1667,2100
"",,W.P,1555,,2333,933,2067,1233,1440,1800,950,2000,1420,600,3400,2200,775,1333,1500,1333,1150,1167,1780
Pork,Kg,R.P,6652,7000,7000,6333,7000,6333,6000,6000,7500,6000,6300,7000,6000,8000,6125,6333,8667,6000,7000,6000,6100
"",,W.P,5942,7000,6500,5500,6000,4967,5000,5200,7000,5500,5020,6500,5500,8000,5375,5667,8000,5000,5000,5500,5680
Processed Honey,Kg,R.P,10210,6000,10000,17333,,11667,8667,6000,10600,,9750,8000,,10000,11667,,18000,8333,8667,,8000
"",,W.P,8693,5500,9000,15000,,6367,7800,5000,8800,,8000,7000,,10000,10333,,15000,6667,7333,,7900
Simsim,Kg,R.P,3595,3500,3120,3920,2820,3250,3900,3217,3833,4000,3233,,3250,3800,3380,3667,4500,3917,3471,3833,3333
"",,W.P,3047,2500,2580,3060,2340,2625,3467,2917,3133,3500,2817,,2867,3433,2780,3000,4050,3283,2929,3367,3017
Sorghum Flour,Kg,R.P,1379,1500,850,1050,1320,1775,1350,1150,1320,1600,1200,800,1800,1133,1433,1533,1575,1375,1617,1667,1357
"",,W.P,1105,1300,750,950,1110,833,1050,977,1160,1400,988,700,1233,1033,1150,1200,1375,1075,1283,1333,1086
Sorghum Grain,Kg,R.P,1064,650,1017,1210,520,788,1100,1008,1183,1500,900,700,1042,933,1267,1283,1350,1200,1025,1467,964
"",,W.P,842,600,696,900,450,493,817,800,983,1200,729,625,858,877,967,1000,1150,875,775,1167,757
Soya Beans,Kg,R.P,1858,1400,1683,2063,1250,1825,1817,1700,2133,2500,1757,2100,1500,1600,1740,1867,2150,2357,1867,1900,1850
"",,W.P,1541,,1361,1820,1060,1475,1500,1458,1767,1800,1486,1900,1275,1467,1430,1433,1700,1743,1500,1533,1517
Sun Dried Cassava,Kg,R.P,698,750,720,400,1200,605,650,308,850,,720,,675,600,350,700,1033,750,884,,700
"",,W.P,580,700,654,340,890,498,500,293,575,,520,,575,567,280,650,833,650,640,,638
Sunflower,Kg,R.P,1046,,400,400,450,550,,550,,,,,1188,1517,400,,4250,,550,1200,1100
"",,W.P,954,,350,350,410,470,,470,,,,,1175,1450,350,,3850,,470,1100,1000
Super Rice,Kg,R.P,2924,3400,3133,3000,3167,3000,2867,2800,3080,3067,2920,2900,2700,2800,2250,2567,3167,3000,3100,2767,2800
"",,W.P,2627,3100,2767,2800,2800,2667,2550,2550,2780,2800,2600,2700,2440,2600,1863,2233,2967,2650,2617,2467,2560
Tilapia,whole,R.P,7407,8000,4967,5100,12300,8125,6167,7417,5667,4000,5000,9500,8500,13267,6720,8000,8250,5133,7286,7333,5000
"",,W.P,6070,,4517,4340,8900,6525,5183,5817,4900,3000,4117,7750,7900,11833,4080,7100,6675,4400,5786,6133,4417
Turkey,bird,R.P,37696,,15000,22000,30000,40000,50000,49500,40000,,42000,,25000,29833,47125,,,50000,44286,35000,50000
"",,W.P,31380,,14500,19500,24000,30000,45667,45250,33333,,35000,,15000,27600,34750,,,41250,37143,25000,46333
Unprocessed Cotton,Kg,R.P,,,,,,,,,,,,,,,,,,,,,
"",,W.P,,,,,,,,,,,,,,,,,,,,,
