"",,,Central,,,Eastern,,,Northern,,Western,
CommodityName,Weight Pricetype,Kalerwe Kiboga,Luwero Masaka Nakasero Nakawa Owino,Iganga,Jinja,Mbale,Soroti,Arua,Gulu Lira,Kabale,Kasese Kisoro,Mbarara
Apple Bananas,Kg Retail,1000 500,700 1100 1000 800 1300,1500,260,700,500,800,1300,800,900 500,750
"",Wholesale,800 400,650 800 900 500 1200,1000,240,500,400,700,1200,600,900 320,650
Beef,Kg Retail,5000 4500,4500 5000 5000 5000 5000,4500,6000,4500,4500,5000,5000 5000,4000,4200 4000,4000
"",Wholesale,4500 4500,4500 4500 4500 3800 4500,4000,5000,4300,3900,5000,4500 5000,3500,4000 3500,3800
"Cassava, Dry Fermented",Kg Retail,,520,510,750,,550,750,1500 1000,,700,1000
"",Wholesale,,480,410,700,,450,680,1300 800,,680,800
"Cassava, Flour",Kg Retail,800 1200,1300 1200 1300 1000 700,1050,900,900,1000,750,2600 900,1200,900 1000,1000
"",Wholesale,700 1000,1000 800 1000 750 600,810,800,700,700,680,2300 700,1000,800 700,800
"Cassava, Fresh",Kg Retail,470 400,1000 1300 350 400 550,950,260,120,400,700,1400 1200,1000,1200 600,800
"",Wholesale,400 300,1000 800 300 330 500,750,230,100,380,600,1300 1000,900,1000 400,700
"Cassava, Sun dried",Kg Retail,,600 1000 520,500,760,700,600,750,1500 600,,750 500,1100
"",Wholesale,,500 750 480,400,720,600,500,700,1200 500,,700 400,1000
Cavendish (Bogoya),Kg Retail,1250 700,1200 1000 1200 800 1700,2500,700,1500,600,700,2500 2000,2500,1600 500,900
"",Wholesale,1150 600,1000 700 1000 600 1600,1700,650,1000,450,600,2000 1800,2000,1500 300,800
"Chicken, Exotic",bird Retail,7500,7500 10000 8000 6000 8000,6500,7500,6500,9000,,9000 5000,10000,8500 9000,12000
"",Wholesale,7000,7000 8500 7000 5000 6500,5500,7000,5500,7500,,7500 4500,8000,7800 7000,9000
"Chicken, Local",bird Retail,10000 13000,10000 16000 13000 15000,13000,15000,6500,10000,15000,14000 8000,13000,17000 9000,15000
"",Wholesale,9000 12000,8000 14000 12000 11000 13000,10000,14000,5000,8000,13500,13000 7500,10000,16000 7000,14000
Coffee (Unprocessed),Kg Retail,2100,1400 1000,2020,1100,1300,,,,,2900,
"",Wholesale,1700,1200 800,1820,1000,1100,,,,,2800,
Cotton (Unprocessed),Kg Retail,,400,,,,,,,,,
"",Wholesale,,400,,,,,,,,,
Cow Peas,Kg Retail,2000 1800,1600 2500 2000 1750 2500,1800,2000,1400,1600,,2000,,2000 2200,1300
"",Wholesale,1800 1700,1500 2300 1900 1350 2200,1600,1800,1200,1300,2500,1800,,1800 2000,1100
"Dried Beans, Agwede",Kg Retail,,2000 1300 1200 1100,1400,1000,,1400,,1200,,,
"",Wholesale,,1800 1200 1000 1000,1250,900,,1250,,1150,,,
"Dried Beans, Nambale",Kg Retail,1600,1800 1400 2500 1400 1100,1400,1400,1200,1650,1400,1600 1200,1000,1300 1200,1500
"",Wholesale,1400,1700 1200 2000 1200 1000,1250,1200,1150,1350,1100,1400 1150,900,1200 900,1400
"Dried Beans, Others",Kg Retail,,1200,1400,,,,,1200,,,
"",Wholesale,,900,1250,,,,,1150,,,
"Dried Beans, Yellow",Kg Retail,1600 600,2000 1000 2500 1500 1500,1450,1500,1800,1650,1400,1600 1500,900,1500 1400,1650
"",Wholesale,1400 500,1800 800 2000 1350 1400,1300,1300,1500,1300,1200,1400 1300,800,1400 1200,1500
"Eggs, Exotic",tray Retail,5000 6500,6000 5700 5000 6000 5000,5500,5200,5500,5800,7500,7200 6000,6000,5800 6500,7300
"",Wholesale,4500 6000,5500 4500 4700 5000 4500,5000,5000,5300,5700,5800,5800 5500,5500,5500 5500,7000
"Eggs, Local",tray Retail,8500 9000,5000 9000 12000 9000 13000,8200,7000,9000,7300,7500,6500,7500,8800 12500,8200
"",Wholesale,7500 7500,5500 7500 11000 7000 10000,6400,6000,7500,7100,,6000,6000,8500 9000,6800
"Fish, Nile Perch",Kg Retail,6000,7000 4500 7000 8000,4800,7000,5000,4500,5000,4200 8000,6000,5500,7000
"",Wholesale,5000,7000 3500 6000 7000,3800,6000,4800,4000,5000,3500 7000,5000,4500,6500
"Fish, Tilapia",whole Retail,3500 6500,3800 3500 7000 4500 5500,5500,7500,5000,7000,8500,4700 8000,6000,4500 4500,7300
"",Wholesale,3000 4500,3700 2500 5500 4000 4500,4500,6500,4500,5500,,4200 7000,5000,4000 4000,7000
Goat Meat,Kg Retail,6000 6000,5000 5500 6000 6000 6000,5000,6000,,5000,5500,5000 5000,5000,6000 5000,5200
"",Wholesale,5000 5000,4800 4500 5000 4800 4500,4500,5000,,4800,5500,4500 5000,4800,5800 3800,4800
"Groundnuts, Unpounded",Kg Retail,3000 2700,3000 2100 3000 2750 2500,2600,2500,2400,2500,2500,2200 2600,2400,2400 2650,2800
"",Wholesale,2800 2500,2800 1900 2800 2300 2150,2250,2300,2200,2200,1800,2000 2500,2200,2300 2300,2500
"Honey, Processed",ltr Retail,7000,3500 5500 8000 8000,8600,6000,,6400,3500,,9000,10000,5500
"",Wholesale,6000,3000 4000 7500 7000,7000,5000,,6100,3300,,7500,8000,5200
"Honey, Unprocessed",ltr Retail,3500,3000 5000 6000,5200,4000,,3300,2000,,7000,7500,7700
"",Wholesale,3100,2500 4500 5000,4000,3000,,3000,,,6000,6500,5300
Irish Potatoes,Kg Retail,560 291,1000 1900 1100 550 600,800,800,400,800,2000,1500 1200,400,900 900,1050
"",Wholesale,480 250,800 1700 900 450 550,690,700,300,700,,1300 1000,350,850 700,900
"",,,,,,Central,,,,,Eastern,,,,Northern,,,Western,
Maize Flour,Kg,Retail,1200,1100,1500,1500,1700,1200,1000,1000,1000 900,,1400,1500,1500,1600,1200,1200 1600,1100
"",,Wholesale,900,1000,1200,1300,1500,1000,900,840,900 800,,1000,1280,1400,1000,1100,1200 1300,1000
Maize Grain,Kg,Retail,1100,450,400,1000,1400,700,350,260,350 380,,600,700,650,600,800,500 280,950
"",,Wholesale,1000,400,350,700,1300,600,300,220,300 370,,500,500,600,500,750,400 250,900
Matooke,Kg,Retail,380,375,2000,400,1500,600,350,420,240 1200,,600,350,,1000,,850 800,1100
"",,Wholesale,300,350,1500,350,1000,500,300,370,220 1000,,500,300,,800,,800 700,900
Matooke (Bunch),Bunch,Retail,9000,15000,12000,15000,14000,13000,13000,16000,12000 14000,,22000,10000,15000,15000,17000,17000 15000,7000
"",,Wholesale,7000,14000,10000,12000,12000,11000,10000,13000,11000 12000,,18500,9000,13500,5000,14000,17000 10000,6500
Milk,Ltrs,Retail,1000,1000,800,1000,900,1000,800,1000,800 900,,800,1000,1300,1000,500,800 800,500
"",,Wholesale,800,900,750,500,800,900,700,900,700 800,,700,1000,1200,800,400,750 600,400
Millet Flour,Kg,Retail,1200,1300,1200,1500,2200,2000,1800,1400,1500 1800,,1600,2000,2500,1600,2000,1500 1700,1550
"",,Wholesale,900,1200,1000,1300,1900,1600,1600,1200,1400 1600,,1450,1500,2300,1000,1800,1400 1500,1400
Millet Grain,Kg,Retail,1200,1200,1000,1600,1900,1000,1000,1000,1000 1200,,1100,1100,1200,1000,1500,1100 1300,1850
"",,Wholesale,900,1100,1000,1400,1700,800,900,900,900 1100,,1000,900,900,800,1400,1000 1200,1600
Pineapple,whole,Retail,800,800,1500,1000,1000,1000,1200,1500,2000 1500,,2500,,,3000,1000,2000 2500,800
"",,Wholesale,600,500,1300,500,800,700,800,1000,1700 1000,,1800,,,1000,700,1600 1400,600
Pork,Kg,Retail,5000,5000,4000,4500,,5000,,,6000,,4000,,5000,5000,6000,,
"",,Wholesale,4500,4500,4000,3500,,3500,,,5000,,3700,,4500,4000,5000,,6000
Rice (Kayiso),Kg,Retail,2000,2800,2200,2200,2000,1900,1800,1600,1600 1600,,1900,2000,1650,1800,,2500,2500
"",,Wholesale,1800,2500,2000,1800,1800,1700,1650,1500,1450 1500,,1700,1600,1400,1600,,2300,2500
Rice (Super),Kg,Retail,2400,2300,2300,2100,2500,2550,2300,2000,2000,,2200,2300,2700,2000,2500,2000 2700,2450
"",,Wholesale,2100,2200,2200,1800,2400,2200,2100,1900,1750,,1950,1660,2400,1800,2350,2000 2400,2400
Rice (Upland),Kg,Retail,1700,2200,2200,2200,2500,1900,1900,1800,1500,,,2000,1500,1800,,2300,2500
"",,Wholesale,1500,2000,2000,1700,2300,1700,1700,1600,1400,,,1600,1400,1600,,2100,2300
Simsim,Kg,Retail,3000,,3000,3000,3500,2800,2500,2500,2300,,2200,2000,2000,2300,,2000 3000,4000
"",,Wholesale,2800,,2600,2800,3000,2500,2100,2200,2000,,1800,1800,1800,2200,,1800 2500,3800
Sorghum Flour,Kg,Retail,1000,900,1200,,1800,1000,900,900,1000 800,,1000,1200,1600,1800,1300,1600,900
"",,Wholesale,700,800,1000,,1700,700,700,700,900 700,,700,1000,1500,1500,800,1500,750
Sorghum Grain,Kg,Retail,700,800,1000,,1700,800,450,600,900,,450,800,900,700,900,1100 800,850
"",,Wholesale,500,700,900,,1500,500,400,500,800,,400,600,700,500,700,1000 700,750
Soya Beans,Kg,Retail,2000,1400,1800,1900,2000,1500,900,1200,1500,,1200,1800,,1000,2700,1700 1600,3000
"",,Wholesale,1800,1200,1500,1800,1700,1300,820,1000,1300,,850,800,,900,2500,1600 1300,2000
Sunflower,Kg,Retail,,,,,3000,,450,,,,450,,,,,,3200
"",,Wholesale,,,,,2700,,370,,,,400,,,,,,3000
Sweet Potatoes,Kg,Retail,390,208,1000,1500,400,400,520,1150,300,,500,160,800,500,1000,1000 700,800
"",,Wholesale,340,166,1000,1000,350,350,500,1000,270,,400,140,700,400,800,800 500,700
Turkey,bird,Retail,,,35000,,40000,42000,45000,34000,43000,,37000,,,,,30000,
"",,Wholesale,,,30000,,35000,35000,38000,30000,40000,,35000,,,,,26000,38000
Vanilla (Unprocessed),Kg,Retail,,,,,3500,,2700,,,,,,,,,3500,
"",,Wholesale,,,,,3000,,2300,,,,,,,,,3000,
