800,,,
750,,,
700,,,
650,,,
600,,,
"",2/16/2009,2/21/2009,2/23/2009
Kisoro ‐ Retail,800,800,750
Kisoro ‐Wholesale,700,700,650
"",,Wholesale 3000,4000,3400,3000,6000,,4600,5000,8000,1800,5000,4650,3500,4300,7000,,3000,4000,5000,1800,8000,4426
Goat Meat,Kg,Retail 6000,4500,5000,5500,6000,6000,6000,5500,8000,5000,5500,5000,5500,6000,,5000,5400,6000,5500,4500,8000,5633
"",,AruaWholesale 5000,3500,5000,4500,5500,4800,3500,5000,7000,4800,5000,4800,5500,5800,,4000,5000,5000,5000,3500,7000,4928
"Groundnuts, Unpounded",Kg,Retail 2500,2300,2800,1800,2500,2500,2500,2400,2400,2400,5500,2000,2500,2000,2000,2350,2300,2500,2500,1800,5500,2513
"",,Wholesale 2300,2100,2500,1700,2000,2100,1950,2100,2200,2300,5000,1800,2200,1800,G18u0lu0,2250,2200,2300,2400,1700,5000,2263
"Honey, Processed",Kg,Retail 7500,10000,3500,,,8000,,6500,9000,,9000,6400,2500,,,4500,,7000,,2500,10000,6718
"",,Wholesale 7000,8000,3500,,,7000,,5700,8000,,7000,6000,2000,,Lira,3500,,6000,,2000,8000,5791
"Honey, Unprocessed",Kg,Retail 6500,7000,2600,,5000,,,2900,7000,,3000,2550,1800,3800,,7000,,3500,,1800,7000,4388
"",,Wholesale 6000,6000,2200,,4500,,,2600,6000,,2500,2350,,3000,,6500,,3100,,2200,6500,4068
Irish Potatoes,Kg,Retail 480,800,1000,600,650,500,520,650,600,500,,850,1300,1000,Ka8b00ale,330,1200,358,,330,1300,714
"",,Wholesale 400,620,800,450,600,400,500,520,500,400,,725,1200,900,800,290,1000,333,,290,1200,614
Maize Flour,Kg,Retail,1400,1500,1200,1100,1300,1300,1200,1200,1200,1200,600,1200,1500,1300,,1300 1200,,1000,,600,1500,1218
"",,Wholesale,1200,1250,1100,1000,1000,1000,1050,1000,1000,1000,500,1100,1300,1100,,1150 1100,,700,,500,1300,1032
Maize Grain,Kg,Retail,1000,500,1000,800,900,750,520,550,520,600,800,625,800,620,,1000 900,,450,,450,1000,726
"",,Wholesale,900,400,800,600,800,600,510,480,490,500,600,550,700,500,,620 800,,300,,300,900,597
Matooke,Kg,Retail,340,500,1000,212,600,390,280,450,280,400,450,375,450,,900,320 400,,175,600,175,1000,451
"",,Wholesale,280,400,700,150,550,340,250,400,250,300,350,325,400,,700,270 350,,125,400,125,700,363
Matooke (Bunch),Bunch,Retail,6500,7000,6500,7000,8000,8500,10000,9750,14000,8000,12000,9500,7500,15000,8000,8500 7000,,7000,6000,6000,15000,8724
"",,Wholesale,5000,5000,5400,6000,7000,7500,8000,8000,12500,6000,10000,9000,7000,13500,6000,6500 6500,,5000,4000,4000,13500,7258
Milk,Ltrs,Retail,800,800,500,700,800,800,800,800,800,500,900,800,1000,1000,1200,600 750,,700,500,500,1200,776
"",,Wholesale,700,600,500,400,700,700,700,600,700,400,800,700,900,800,1000,500 700,,500,400,400,1000,647
Millet Flour,Kg,Retail,1200,1600,1000,1900,800,1900,1800,1400,1500,,1500,1400,1600,1000,800,1600 1400,,1200,1000,800,1900,1367
"",,Wholesale,900,1400,850,1400,700,1500,1500,1100,1300,,1200,1300,1500,900,600,1250 1350,,1100,800,600,1500,1147
Millet Grain,Kg,Retail,1200,1200,900,1400,1300,1000,920,1000,1200,1050,1200,850,1600,900,600,1200 1300,,1100,900,600,1600,1096
"",,Wholesale,900,800,650,1200,1100,850,880,800,1000,1000,1000,800,1500,800,500,950 1200,,1000,700,500,1500,928
Pineapple,whole,Retail,1000,2000,1000,1000,1200,1000,1000,1500,,1200,1000,1525,1500,1800,2000Kale5r0w0e,1000,,800,1000,500,2000,1224
"",,Wholesale,800,1000,800,700,800,700,700,1600,,1000,800,1400,1400,1500,1500,350 900,,500,500,350,1600,942
Pork,Kg,Retail,5000,4000,4000,4000,,5000,5000,,,,4000,4000,5000,4500,Kib4o8g0a0,5200,,5000,6500,4000,6500,4714
"",,Wholesale,4500,2800,3800,3500,,3500,4700,,,,4000,3800,5000,4300,,3800 5000,,4500,6000,2800,6000,4229
Rice (Kayiso),Kg,Retail,1700,2000,1800,2400,2000,1900,1600,1700,1800,1800,1700,1775,2000,1600,2200,2500,,2800,2500,1600,2800,1988
"",,Wholesale,1600,1800,1600,2000,1800,1700,1450,1500,1700,1600,1500,1675,1800,1500,2000Luwero,,,2500,2250,1450,2500,1763
Rice (Super),Kg,Retail,2200,2200,2500,1800,2200,2400,2000,2000,2400,2000,2200,2000,2200,2000,2200,2200 2200,,2000,2200,1800,2500,2153
"",,Wholesale,2000,2000,1950,1600,2000,2100,1800,1800,2000,1800,1800,1800,1900,1900,2000Ma2s0a0k0a,2100,,1800,1800,1600,2100,1903
Rice (Upland),Kg,Retail,1600,1800,1700,2000,2200,1900,1700,1700,1800,,,,1800,1500,2000,2000 1530,,1800,2000,1500,2200,1814
"",,Wholesale,1500,1700,1650,1800,2000,1700,1500,1500,1700,,,,1500,1400,1800,1850 1500,,1700,1700,1400,2000,1656
Simsim,Kg,Retail,3000,3000,3000,,5000,2800,2500,2200,1800,,3000,2500,2000,2000,1800Na4k0a0s0ero 2100,,,,2300,1800,5000,2688
"",,Wholesale,2800,2500,2500,,4000,2400,1850,2000,1600,,2500,2300,1500,1800,1800,3200 2000,,,2000,1500,4000,2297
Sorghum Flour,Kg,Retail,1000,,1800,,2000,1000,1000,1000,700,700,1000,625,1500,800,400Na1k2a0w0a,1400,,800,1300,400,2000,1072
"",,Wholesale,700,,1600,,1800,700,850,850,600,500,800,575,1400,750,350,950 1300,,700,1200,350,1800,919
Sorghum Grain,Kg,Retail,700,700,1500,,1700,800,600,800,700,,800,525,1000,700,500Ow1i1n0o0,1100,,750,1000,500,1700,881
"",,Wholesale,500,500,1300,,1600,500,550,680,550,,500,410,900,650,400,1000,,650,800,400,1600,718
Soya Beans,Kg,Retail,2500,1500,1600,1400,1600,1500,1100,1350,1400,1500,1300,1500,1800,,600,1300 1950,,1000,2500,600,2500,1522
"",,Wholesale,2300,1200,1400,1300,1400,1000,900,1200,1100,1350,1000,1300,1600,,500Igan9g0a0,1900,,700,2400,500,2400,1303
Sunflower,Kg,Retail,,,,,,,400,1000,,,,400,,,600,,,,,400,1000,600
"",,Wholesale,,,,,,,370,800,,,,350,,,500Jinja,,,,,350,800,505
Sweet Potatoes,Kg,Retail,350,600,1100,700,450,350,520,900,230,300,600,275,650,600,800,250 1000,,150,,150,1100,546
"",,Wholesale,285,500,700,500,400,300,500,750,200,200,400,225,600,500,600Kap1c5h0orwa900,,,100,,100,900,434
Tea (Unprocessed),Kg,Retail,,,,,,,400,,,,,,,,,,,,,400,400,400
"",,Wholesale,,,,,,,350,,,,,,,,,,,,,350,350,350
Turkey,bird,Retail,,27000,35000,,30000,32000,34000,24000,27000,,25000,29000,,,32000Mbale,,,,35000,24000,35000,30000
"",,Wholesale,,24000,32000,,25000,25000,28000,22000,24000,,20000,27000,,,30000,,,,,20000,32000,25700
Vanilla (Unprocessed),Kg,Retail,,,,,5500,,,,,,,,,,Soroti,,,,,5500,5500,5500
"",,Wholesale,,,,,5000,,,,,,,,,,,,,,,5000,5000,5000
