"",,,,,CENTRAL,,,,,EASTERN,,,,NOTHERN,,WESTERN,,,
CommodityName,Unit,,KAL,KIB,LUW MSK,NAK,OWI,BUS,IGA,JJA KAP,MBA,SOR,ARU,GUL LRA,FTP,KAS KLE,MBR,Avg,Organic Prices
Animal Products,,,,,,,,,,,,,,,,,,,
Beef,Kg,Retail,5000,5000,4750 5000,5000,5000,5000,4500,6000 4400,4400,4000,5000,5000 5000,4500,4200 4000,4000,4723.7,
"",,Wholesale,4500,4500,4500 4500,3600,4500,5000,4000,5000 4000,4200,3800,5000,4500 5000,4500,4000 3500,3800,4336.8,
Goat Meat,Kg,Retail,6000,6000,6000 5500,6000,6000,5000,5000,6000 5000,4800,5000,5500,7200 5000,6000,6200 5000,5800,5631.6,
"",,Wholesale,5000,5000,6000 4500,4800,4500,5000,4500,5000 4500,4500,4700,5500,6000 5000,6000,6000 4800,5500,5094.7,
"Honey, Processed",Kg,Retail,,7000,4500 5500,8000,,,8800,6000,,6400,3500,10000,1200,9000,5500,6283.3,
"",,,,,,,,,,,,,,,,,,,8000
"",,Wholesale,,6000,4000 4000,7000,,,7200,5000,,6100,3200,8000,10000,7500,5000,6083.3,
"Honey, Unprocessed",Kg,Retail,,3500,3500,6500,,,5400,4000,3000,3800,2500,8000,,7000,7700,4990.9,
"",,Wholesale,,3100,3000,6000,,,4600,3000,2900,3600,,6000,,6000,5300,4350,
Milk,Ltrs,Retail,1000,1000,700 1000,800,1000,1200,1000,800 550,900,800,1000,1200 1000,1000,800 500,600,886.84,
"",,Wholesale,700,900,600 800,700,700,1000,900,700 400,800,700,900,1000 950,500,750 400,500,731.58,
Pork,Kg,Retail,5000,5000,4250 4500,5000,5000,4000,,6000 4000,4400,4000,5000,5000 5000,4000,4500 6000,,4744.1,
"",,Wholesale,4500,4500,4000 3500,3800,4200,3700,,5000 3600,3400,3800,5000,4500 3500,3500,4200 5000,6500,4233.3,
Cereals,,,,,,,,,,,,,,,,,,,
