"",,,Central,Eastern,Northern,Western,,,,,,,,,,,,,,,,,,
"",,Wholesale,14000,8500,12000,8000,9500,13000,10000,10000,6000,10000,9000,12500,13000,7000,13000,9500,9000,10000,6500,10026,6000,1400
Coffee (Unprocessed),Kg,Retail,,1100,1250,1000,,1300,1600,1200,,3500,,,,,,,2400,2000,,1706,1000,350
"",,Wholesale,,1000,1100,800,,1200,1400,1100,,2500,,,,Masaka,,,2300,1600,,1444,800,250
Cotton (Unprocessed),Kg,Retail,,,,,,1200,,800,,800,,,,,,,650,,,863,650,120
"",,Wholesale,,,,,,1100,,700,,600,,,,,,,600,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
Cow Peas,Kg,Retail,2000,2200,1400,1600,1400,2500,1800,2400,,1800,1200,1600,,Nak1a5w00a,3000,1500,2100,1000,1200,1776,1000,300
"",,Wholesale,1800,2000,1300,1400,1200,2200,1600,2200,,1500,950,1500,,1400,,1400,2000,900,1000,1522,900,220
"Dried Beans, Agwede",Kg,Retail,,,1300,1400,,800,1400,1300,,,1200,1300,850,700,,,,,,1139,700,140
"",,Wholesale,,,1200,1200,,700,1200,1100,,,1100,1200,800,Owin5o00,,,,,,1000,500,120
"Dried Beans, Nambale",Kg,Retail,1400,1100,1500,1200,1500,1200,1200,1500,1200,1300,1400,1300,1350,1000,1000,1300,1200,,800,1247,800,150
"",,Wholesale,1300,900,1300,1000,1200,1100,1000,1400,1000,1000,1350,1200,1200,800,800,900,1100,,600,1064,600,1400
"Dried Beans, Others",Kg,Retail,1600,1300,1500,1200,1500,1100,1200,1400,1200,1200,1200,1400,900,Igan12ga00,1000,800,1400,1400,1000,1237,800,160
"",,Wholesale,1400,1100,1200,1000,1100,1000,1100,1300,1000,1000,1100,1300,800,1000,800,780,1300,900,800,1052,780,1400
"Dried Beans, Yellow",Kg,Retail,1500,1300,1500,1200,1600,1450,1400,1600,,1500,1500,1500,1300,1400,1200,1300,1300,800,1000,1353,800,160
"",,Wholesale,1400,1100,1200,1000,1300,1400,1250,1500,,1200,1400,1400,1250,Jinj1a200,1000,900,1200,700,900,1183,700,150
"Eggs, Exotic",tray,Retail,5000,6000,4800,6000,6000,4700,6200,5000,9000,7500,5800,7500,6000,6000,6000,6500,5200,6000,5500,6037,4700,900
"",,Wholesale,4500,5500,4500,4500,5000,4400,5200,4800,7000,5400,5600,6000,5700,6000,5500,5000,5000,5500,4500,5242,4400,700
"Eggs, Local",tray,Retail,10000,8500,5800,7500,9000,11000,8000,7000,,10500,7000,7500,,Kap6c5h0o0r,a9000,9000,7200,7500,9000,8235,5800,1100
"",,Wholesale,8000,7000,5200,6000,7000,9000,6500,6000,,9000,6800,,,6000,7500,7500,7000,6600,8500,7100,5200,900
"Fish, Nile Perch",Kg,Retail,6000,5000,3500,,7000,7000,5500,6000,,2800,4000,5000,4700,9000,,,,,,5458,2800,900
"",,Wholesale,5500,4500,3200,,5000,6000,4500,5000,,2300,3500,5000,4500,Mb8a0le00,,,,,,4750,2300,800
"Fish, Tilapia",whole,Retail,4000,4500,3800,4000,4000,15000,5500,8000,2000,6000,5500,4300,4500,8000,6000,7500,3000,6000,,5644,2000,1500
"",,Wholesale,3500,4000,3400,3000,3400,13000,4500,7500,1800,5000,5000,3800,3800,7000,,6500,2500,4000,,4806,1800,1300
Goat Meat,Kg,Retail,6000,4500,8000,5500,6000,6000,5000,6000,5000,5500,5000,5500,6000,Sor6o0ti00,5000,5000,5200,6000,5500,5616,4500,800
"",,Wholesale,5000,3500,6500,4500,5000,4500,4500,5500,4800,5000,4800,5500,5800,6000,,4000,5000,5000,5000,4994,3500,650
"Groundnuts, Unpounded",Kg,Retail,2500,2400,2800,2000,2500,2500,2200,2500,2400,2200,2000,2500,2200,2000,2200,2400,2400,2500,2500,2353,2000,280
"",,Wholesale,2300,2100,2500,1900,2100,2050,2050,2300,2300,1800,1800,2200,2100,Aru2a000,1950,2250,2200,2300,2400,2137,1800,250
"Honey, Processed",Kg,Retail,7500,10000,3500,8000,8000,,6600,6000,,9000,6400,3000,,4000,,4000,,7000,12500,6821,3000,1250
"",,Wholesale,7000,8000,3500,6000,7000,,5800,5000,,7000,6000,2750,,4000,,3400,,6000,10000,5818,2750,1000
"Honey, Unprocessed",Kg,Retail,6500,7000,2600,,,,2900,5000,,3000,2700,2100,,4000,4000,7000,,3500,10000,4638,2100,1000
"",,Wholesale,6000,6000,2200,,,,2600,4000,,2500,2500,2100,,4000,,6500,,3100,9000,4208,2100,900
Irish Potatoes,Kg,Retail,470,800,1000,600,500,580,600,700,500,600,900,1000,1000,800,700,400,1000,375,,696,375,100
"",,Wholesale,400,700,800,450,400,530,500,600,400,550,800,800,900,800,550,350,800,358,,594,350,90
Maize Flour,Kg,Retail,1400,1500,1200,1100,1300,1100,1200,1300,1200,1000,1200,1500,1250,1500,1000,1300,1200,1000,1100,1229,1000,150
Commodity,,,,,,,,,,,,,,,,,,,,,,,,
Maize Grain,Kg,Retail,1000,500,1000,800,700,500,520,600,650,600,650,800,570,1500,450,1000,900,450,1200,757,450,150
"",,Wholesale,900,450,800,600,600,480,460,590,600,5500,600,700,550,1500,400,620,800,300,1000,918,300,550
Matooke,Kg,Retail,310,500,1000,200,410,300,400,280,400,450,450,400,2900,900,350,400,350,200,800,579,200,290
"",,Wholesale,280,400,700,175,360,280,350,260,300,350,350,350,2700,800,,350,300,150,600,503,150,270
Matooke (Bunch),Bunch,Retail,7000,8000,6500,8000,9000,9000,13000,14000,8000,12000,10000,8000,15500,800,6500,11000,7000,8000,5000,8753,800,1550
"",,Wholesale,6000,5000,5400,7000,8000,7000,10000,13000,6000,10000,9500,7500,14500,600,,9000,6500,6000,4000,7500,600,1450
Milk,Ltrs,Retail,800,700,500,700,800,800,800,800,500,900,800,1000,1000,1200,700,600,750,700,500,766,500,120
"",,Wholesale,700,500,500,400,700,700,600,700,400,800,700,800,800,1000,600,500,700,500,400,632,400,100
Millet Flour,Kg,Retail,1200,1600,1000,1500,1900,2000,1400,1500,,1500,1400,1600,900,1500,2000,1600,1400,1200,800,1444,800,200
"",,Wholesale,900,1400,850,1300,100,1600,1100,1300,,1200,1350,1500,800,1400,,1250,1350,1100,700,1129,100,160
Millet Grain,Kg,Retail,1200,1200,900,1400,1000,950,1000,1200,1050,1000,900,1000,900,600,1000,1200,900,1100,1200,1037,600,140
"",,Wholesale,900,800,650,1200,850,930,800,1000,1000,900,850,900,850,500,800,950,800,1000,1000,878,500,120
Pineapple,whole,Retail,1000,1200,1000,900,100,,1800,2500,,1000,1500,,1500,2000,,500,1200,800,1000,1200,100,250
"",,Wholesale,800,1200,800,700,700,,1000,2000,,800,1400,,1300,1800,,350,1000,500,500,990,350,200
Pork,Kg,Retail,5000,4000,4000,4000,5000,,,600,,4000,4000,5000,4500,6000,5000,4800,5000,5000,7500,4588,600,750
