"",,,KalerweKibogaLuwero Masaka Nakasero Nakawa Owino Iganga JinjaKapchorwa MbaleSorotiArua,GuluLira,Hoima Kabale Kasese Kisoro,,,,,,,,,,,,,,,,
"",,Wholesale,250,100,600,150,300,320,250,350,,300,,400,400,,,,370,550,400
Matooke (Bunch),Bunch,Retail,6500,6000,13000,7000,8000,8000,8500,13500,9000,8000,10000,10000,14000,15000,10000,8000,11000,13000,8000
"",,Wholesale,5500,4000,10000,6000,7500,7000,6500,11000,8000,6000,9000,9500,13500,14000,8000,,8500,12500,4800
Milk,Ltrs,Retail,800,800,600,800,800,800,800,1000,800,400,800,800,1000,1000,1200,700,600,750,800
"",,Wholesale,700,700,400,700,700,700,700,800,700,350,700,700,1000,800,1000,600,500,700,600
Millet Flour,Kg,Retail,1200,1500,1600,1500,2000,2000,2000,1600,1600,1800,1700,1400,1800,1300,700,,1600,1200,1600
"",,Wholesale,900,1400,1500,1300,1800,1600,1700,1300,1400,1700,1500,1350,1700,1100,600,,1200,1100,1400
Millet Grain,Kg,Retail,1200,1400,1000,140,1500,1100,1150,1150,1200,1300,1200,1000,1400,1250,1400,1200,1300,1100,1200
"",,Wholesale,900,1300,800,1100,1400,1000,1050,1050,1100,1200,1100,950,1300,1000,1200,1000,1050,1000,800
Pineapple,whole,Retail,1000,800,1300,800,1500,2000,1200,2000,2000,,1000,1500,1500,2000,2500,1500,500,1600,2100
"",,Wholesale,800,500,1000,700,1000,700,800,1200,1800,,900,1400,1100,1600,1800,800,350,1500,1200
Pork,Kg,Retail,4500,5000,5000,4000,,5000,4500,,6000,4000,4000,4000,5000,4500,4500,5000,4500,,4000
"",,Wholesale,4000,4500,4500,3500,,3500,4200,,5000,3600,3700,3800,5000,4300,4000,,3800,,3000
Rice (Kayiso),Kg,Retail,2200,2800,2400,2200,2300,2100,2400,2200,2000,2200,1800,2200,2400,2300,2200,,2700,,2500
"",,Wholesale,2000,2500,2300,2000,2000,1900,2200,1900,1900,2100,1600,2100,2200,2000,2000,,2200,,2400
Rice (Super),Kg,Retail,2500,2500,2500,2000,2500,2300,2600,2600,2500,2400,2400,2400,2500,2700,2400,2800,2600,2500,2600
"",,Wholesale,2400,2300,2250,1800,2200,2100,2400,2400,2300,2300,2200,2200,2200,2500,2200,,,2400,2500
Rice (Upland),Kg,Retail,2000,2200,2200,2000,2500,2100,2300,2100,2200,,,,2400,2500,2200,2200,2500,,2300
"",,,,,,,,,,,,,,,,,,,,,
Simsim,Kg,Retail,3000,,2700,2800,4500,2800,2500,2300,2300,2500,,2400,2500,2400,2200,,3800,3100,3000
"",,Wholesale,2800,,2500,2700,4000,2300,2000,2050,2000,2400,,2300,,2200,2000,,2800,3000,2500
Sorghum Flour,Kg,Retail,1000,1000,1400,,1700,1200,1000,1200,1000,900,900,1000,1600,1200,600,,1600,1400,
"",,Wholesale,700,900,1300,,1500,900,800,900,900,700,800,800,1500,1000,500,,1400,1300,
Sorghum Grain,Kg,Retail,700,900,1200,,1500,1000,650,800,800,,700,630,1000,900,700,1200,1300,1100,800
"",,Wholesale,500,800,1000,,1400,700,600,700,700,,600,550,900,750,600,,1100,1000,600
Soya Beans,Kg,Retail,2000,1400,1800,1400,1650,1500,1400,1300,1500,1800,1300,1400,2000,1600,1200,900,1700,1400,1500
"",,Wholesale,1800,1200,1500,1300,1500,1200,1100,1200,1300,1700,1200,1200,,1400,1000,800,1450,1300,1200
Sunflower,Kg,Retail,,,,,,,400,,,,,450,,900,,,,,
"",,Wholesale,,,,,,,370,,,,,380,,700,,,,,
Sweet Potatoes,Kg,Retail,530,150,1000,1000,400,400,500,1400,280,400,145,450,550,,1200,700,200,1200,650
"",,Wholesale,450,100,700,600,350,350,450,1200,270,300,143,400,500,,1000,500,170,1000,450
Turkey,bird,Retail,,,28000,,32000,35000,,33000,44000,,27000,33000,,,,,,27000,
"",,Wholesale,,,25000,,30000,32000,,30000,42000,,20000,31000,,,,,,24000,
Vanilla (Unprocessed),Kg,Retail,,,,,6000,,2700,,,,,,,,,,3000,,
"",,Wholesale,,,,,5000,,2300,,,,,,,,,,2500,,
