"Page1Date Collected",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16‐Mar,Retail,789,600,5371,5580,5590,1243,748,1217,4574,,,,,,,,,,,,,,,,,,
"",Wholesale,,64,,,45,,,471,,,474,,,497,,,108,,,88,,,101,,,434,
18‐Mar,Retail,808,588,5787,5321,5670,1253,792,1428,4929,,,,,,,,,,,,,,,,,,
"",Wholesale,,67,,,44,,,483,,,460,,,476,,,109,,,67,,,106,,,433,
"Page1Date Collected"
Date Collected
""
""
"",,,CENTRAL,EASTERN,NORTHERN,WESTERN,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,Min,Avg,Max
"roundnuts, Unpounded",Kg,Retail,2500,2400,2800,2000,3000,2500,2500,2200,2500,2200,2000,2500,21A0r0u,2000,2200,2400,2300,2500,2500,2000,2374,300
"",,Wholesale,2300,2100,2500,1900,2000,2100,2050,2050,2400,1800,1800,2200,1900,1800,1950,2250,2200,2300,2400,1800,2105,2500
"oney, Processed",Kg,Retail,7500,10000,3500,8000,5500,8000,,6600,6000,9000,6400,3000,4500,4500,,4000,20000,7000,12500,3000,7412,2000
"",,Wholesale,7000,8000,3500,6000,4500,7000,,5800,5000,7000,6000,2750,42G0u0l,4000,,3400,15000,6000,10000,2750,6185,1500
"oney, Unprocessed",Kg,Retail,6500,7000,2600,,4500,7000,,2900,5000,3000,2600,2500,2100,4000,4000,7000,12000,3500,10000,2100,5071,1200
"",,Wholesale,6000,6000,2200,,4000,6000,,2600,4000,2500,2400,2100,1900,3500,,6500,10000,3100,9000,1900,4488,1000
rish Potatoes,Kg,Retail,480,800,1000,600,700,500,570,600,700,600,900,1000,10L0ir0,800,700,370,900,375,,370,700,100
"",,Wholesale,,,,,,,,,700,600,,,Na,ase4ro00,,,,,,400,567,700
ow Peas,Kg,Retail,2000,2200,1400,1600,3000,1400,2500,1800,2300,2000,1200,,,1600,,1500,2100,1400,1200,1200,1825,3000
"",,Wholesale,1800,2000,1300,1400,2500,1200,2200,1600,2000,1800,950,,,1400,,1400,2000,1300,1000,950,1616,2500
"ried Beans, Agwede",Kg,Retail,,,1300,1400,,,800,1400,1200,,1200,1200,850,700,,,,,,700,1117,1400
"",,Wholesale,,,1200,1200,,,700,1200,1100,,1100,,750,500,,,,,,500,969,1200
"ried Beans, Nambale",Kg,Retail,1400,1100,1500,1200,2000,1500,1100,1200,1500,1200,1400,1300,1300,1000,1000,1300,1100,,800,800,1272,2000
"",,Wholesale,1300,900,1300,1000,1700,1200,1000,1000,1400,1000,1300,1200,1250,800,800,900,1000,,600,600,1092,1700
"ried Beans, Others",Kg,Retail,1600,1300,1500,1200,2000,1500,1200,1200,1300,1500,1200,1400,900,1200,1000,800,1300,1100,1000,800,1274,2000
"",,Wholesale,1400,1100,1200,1000,1700,1100,1100,1100,1200,1200,1100,1300,850,1000,800,780,1200,900,800,780,1096,1700
"ried Beans, Yellow",Kg,Retail,1600,1300,1500,1200,2000,1600,1450,1400,1600,,1500,1500,1300,1400,1200,1300,1200,800,1000,800,1381,2000
"",,Wholesale,1400,1100,1200,1000,1700,1300,1400,1250,1500,,1400,1400,1250,1200,1000,900,1100,700,900,700,1206,1700
"ggs, Exotic",tray,Retail,5000,6000,4800,6000,7000,6000,4700,6200,5200,,5800,7500,6000,6000,6000,6000,5500,6000,5500,4700,5844,7500
"",,Wholesale,4500,5500,4500,4500,6500,5000,4400,5200,5000,,5600,6000,58J0in0j,6000,5500,5000,5200,5500,4500,4400,5233,6500
"ggs, Local",tray,Retail,10000,8500,5800,7500,9000,9000,11000,8000,7000,,7000,7500,,6500,9000,9000,7200,7500,9000,5800,8147,11000
"",,Wholesale,8000,7000,5200,6000,8500,7000,9000,6500,6500,,6700,,,6000,7500,7500,7000,6600,8500,5200,7094,9000
"ish, Nile Perch",Kg,Retail,6000,5500,3500,,,7000,7000,5500,6000,2500,4000,5000,48M0b0,le8000,,8000,,,7000,2500,5700,8000
"",,Wholesale,5500,4500,3200,,,5000,6000,4500,5000,2300,3500,5000,4500,7000,,7000,,,4500,2300,4821,7000
"ish, Tilapia",whole,Retail,3500,4500,3800,4000,8000,4000,5000,5500,8000,6000,5500,4500,4700,8000,6000,7000,3600,,5500,3500,5394,8000
